uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
atdidplceho7k3rmklxohde7544ivsclappbskyfeedpost3lhyes6r4j22z,bafyreiar3yfidjb6jek3drbgyp73mdh4ve3a5dvigtkvbc7gub2mkgjmnu,98 pessoas vão assistir vídeo ironia lacradora acharam iam pagar imposto receber dinheiro pix,20250212T142343340Z,1,0,0,20250212T142344060Z,donalilianbskysocial,Lilian,didplceho7k3rmklxohde7544ivscl
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3lhiudbxdcu2b,bafyreihe2o4pw7tgzojyki6lwrkjvbegp6gwdtivldy2mg24x6nahnocgq,tecnologia Pix desenvolvida Caixa Econômica Federal alvo notícia falsa circula redes sociais notícia afirma taxa Pix vai aumentar usuários pagar imposto existente,20250206T0719069900300,0,0,0,20250206T101907751Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
atdidplc7btmh7yvcw2haupnnhhkddh7appbskyfeedpost3lhhpqzkacc2e,bafyreieh4jyuo5ei7khcmc5vwve62pjfifcu77cfuelmw4gkk2mrb6nbwe,prof reclamando estado falando imposto pix biroliro isentou caralho quatro trata tipo papo doutrinação,20250205T232439925Z,1,1,16,20250205T232440650Z,lixelettobskysocial,Cu Código,didplc7btmh7yvcw2haupnnhhkddh7
atdidplcaigr6gngpp3r7kfz7ew3u4ibappbskyfeedpost3lhhc25bq6c2f,bafyreigqz2geebxdq3pw5idnptdrhesntmnlf7vgyhxk7swwyswgbvossi,amiguinho vídeo fake news pix votou baixar imposto cesta básica vai pro congresso dizer querem volta comida mais barata aqui precisa circular,20250205T191913446Z,0,0,1,20250205T191914153Z,renatacoelhobskysocial,Renata Coelho,didplcaigr6gngpp3r7kfz7ew3u4ib
atdidplc7y5ugksbnmpi442o6c3uot56appbskyfeedpost3lhgmsqm4ys26,bafyreibndmhdfc6y5svq7dxknsbixm323nwownswqivmzzwu6luurwyueq,vou incluir ministro fazenda Raddad Brasil girando cima pix cara atrapalha pra explicar quer mexer bisbilhotar ali SELIC mecanismo transferência renda pros mais ricos galopante ZERO notícia imposto pros mais ricos paia,20250205T125916695Z,2,0,2,20250205T125917049Z,sulplanetariobskysocial,Ekos Sul Planetário 🇧🇷,didplc7y5ugksbnmpi442o6c3uot56
atdidplcazwdmf4xddlgusokw6ir6jciappbskyfeedpost3lhcjvganac2h,bafyreihydu23rwmfqozzgw2oywhpbaattcqdjceh727u6kkdxsrrkbaegy,lulacombr pauta precisa evoluir isenção imposto renda ganha 5 mil reais Comunicação feita novembro 2024 proposta encaminha congresso tivesse sido aprovada impacto portaria pix teria sido menor,20250203T215626317Z,0,0,0,20250203T215627268Z,wennersoaresbskysocial,,didplcazwdmf4xddlgusokw6ir6jci
atdidplcj3ta6sgasdvvgrk6hpgqzeo3appbskyfeedpost3lhc567cvec2k,bafyreidfat22fjrumch6zgsb7qidmt5jicppdy4h2blbkszmafmplvrpje,Trouxe cachorro tomar banho petshop Aí funcionária conversando celular aqui Aí gente vai cobrar imposto Pix,20250203T180842370Z,0,0,0,20250203T180845051Z,gabrieljbcbskysocial,Gabriel Carvalho,didplcj3ta6sgasdvvgrk6hpgqzeo3
atdidplceospa2m43mwafp7hl25c457cappbskyfeedpost3lhbugaiy322h,bafyreicdiyooi5puqha2ydx3twdsh6pllnphimstd7hihfmtjsh3r7r32u,Artigo Onde fumaça imposto tsunami Pix materialização fenômeno rejeição social tributo derivada perda legitimidade sistema tributário wwwjotainfoartigosonde,20250203T153208403Z,0,0,0,20250203T153214462Z,jotainfobskysocial,JOTA,didplceospa2m43mwafp7hl25c457c
atdidplc5vsjvsstt4r5sgszdjhf3n27appbskyfeedpost3lh7ix3rxdk2p,bafyreicpego5guxbhiz2nfj6buqvs2rx25piho6bmcttifecchb22lx2cu,exatamente imposto PIX impostos ganhos PIX revelava,20250202T170129502Z,1,0,1,20250202T170130057Z,paulosimoesdinibskysocial,Paulo Simões Diniz,didplc5vsjvsstt4r5sgszdjhf3n27
atdidplci5dakrpp27zg3rtmryi6t2aqappbskyfeedpost3lh37vgo7ms2o,bafyreicaw3jcmehzqpoj7i4qegkdyxofnhhodjdb4nflgls2ixjh2ta2qy,imposto imaginário Pix tá empregado tá mais preocupado imposto imaginário pix taxa emprego problema pleno emprego mundo tá empregado reclamar imposto imaginário Pix,20250201T000851176Z,1,0,1,20250201T000852156Z,jhugobskysocial,Hugo,didplci5dakrpp27zg3rtmryi6t2aq
atdidplcx7akfjrzmcz4opquasve7pidappbskyfeedpost3lgzzusdhpk2s,bafyreidzm5dsq4mhhepzblu4ivl6bm45amvnso6q4vwbgkzxusqr2qp4ei,bancos TARIFANDO PIX governo fernandohaddadbskysocial CONTINUA CALADINHO Imposto tarifa diferença faz PAGA PIX pertence banco software público ACORDEM ptorgbr gleisibskysocial lulacombr,20250131T124827663Z,0,0,0,20250131T124828248Z,paulocosta11bskysocial,Político revolucionário,didplcx7akfjrzmcz4opquasve7pid
atdidplckduvql3anddb3hl5pfn2wjchappbskyfeedpost3lgw5fp675c25,bafyreifilannkykpgp4zxkfhicltjgfkj5tozldsnfl5kt6xh7j4aqxpca,ferrados emenda secreta emenda pix banco central dinheiro derramando pra lado Pro povo imposto taxa juros grobo atiçando revolta cabeça povo,20250129T234057041Z,1,0,0,20250129T233842259Z,gracieusabritobskysocial,Gracieusa Brito 🚩🇧🇷 🚩,didplckduvql3anddb3hl5pfn2wjch
atdidplcnjxnazoqnghwmz7biguuxjjoappbskyfeedpost3lgvkq4z5cc2k,bafyreifpuwqr3npy33jky4tample4i4vzn3w7ozuslmwgf4hmjw35t37z4,Sabe vivenciei dias povo sabia fake Pix sabia imposto zero alimentos Assim sabem amigo bozonazi bloqueou pé meia pessoas culpa governo federal ponto,20250129T180646005Z,1,0,0,20250129T180648555Z,klauthorresbskysocial,Klau 🚩🇧🇷,didplcnjxnazoqnghwmz7biguuxjjo
atdidplcnv657t7xqql3buwxx3tvfsg2appbskyfeedpost3lgv3rjw5zk2k,bafyreihvip6vixciv7mpz2xsxwtmdvt3viaqjdsypbiamcj6ghen3vifou,Ué houve imposto PIX q tomou vacina virou jacaré igrejas seguem abertas volta PT nada kit gay escolas Então teve gente mentindo gado q ódio sendo manipulado mentiroso próximo passo pra gadaiada repudiar mentiu,20250129T133906966Z,0,0,2,20250129T133908145Z,pcgamabskysocial,P Calmon,didplcnv657t7xqql3buwxx3tvfsg2
atdidplcmiemiunolfjut2ezxzlqhcm3appbskyfeedpost3lgrcutqlx224,bafyreiazcnwilzi6kpjawjya6b7xcrhrta5awztkddyh5qzvbmrczpzmxa,vendedor sorvetes praia ontem Lula queria cobrar imposto PIX maior bola fora carreira política presidente,20250128T013535172Z,0,0,0,20250128T013537050Z,mdalvesbskysocial,Marcos D Alves,didplcmiemiunolfjut2ezxzlqhcm3
atdidplciyszwmzjeixkc3li2fuw2ydkappbskyfeedpost3lgqzksdbik2n,bafyreiba2i7b6m2ftih57rg4qczvvvnst6og7wzpp7vx2a5vuadpfljumy,Taxad blusinhas gatinho milionários acabar 6x1 vai gerar desemprego Isenção imposto pra rico pra pobre Gasolina preço governo Bolsonaro Pix Plano merda educação Gasto cartão secreto lembrar marca positiva governo lembra favor,20250127T224854457Z,0,0,1,20250127T224855258Z,r0bert0csbskysocial,,didplciyszwmzjeixkc3li2fuw2ydk
