uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
atdidplcpn3epepg7ipg7vuyrqmqb2qeappbskyfeedpost3lig6jiwbkp2g,bafyreiha36zju4omj7bvqc7oabwgjozjreazvgszpk3jyahrq35dhygg7m,PIX aproximação começa próximo dia 28 saiba vai funcionar Ambiente viabiliza modalidade pagamento regulamentado Banco Central agosto 2024 partir dia 28 fevereiro brasileiros poderão utilizar nova modalidade pagamento efetuar transações –…,20250218T020844Z,0,0,0,20250218T020847256Z,manaustimebskysocial,manaustimecom,didplcpn3epepg7ipg7vuyrqmqb2qe
atdidplcp54cejrok4ssm7clwecv7mxiappbskyfeedpost3liarqx5phk2w,bafyreieeq2sh5tlc5h4jbkusamtmukbgzc6rdqkjtqnasg6ldmohzzakzm,📢 “Hoje” William Bonner paralisa JN anúncio suspensão PIX alerta geral Banco Central cor … – TV Foco httpsfatolinkcomhojewilliambonnerparalisajncomanunciodesuspensaodopixealertageraldobancocentralaoscortvfoco,20250215T2236583156160000,0,0,0,20250215T223658459Z,fatolinkbskysocial,FatoLink,didplcp54cejrok4ssm7clwecv7mxi
atdidplcw6hewrmicgqpqkcnhlgrf77iappbskyfeedpost3li7mwzfa6s2g,bafyreidq6e4qx4mxgezfxelw75ncnvx5a7xenmjdtwlio664kvn7tzplfu,Carne café hortifrutis derivados leite caros povo sentindo além absurda política juros altos praticados Banco Central Galípolo comandando corroendo governo Lula Lógico Fake News PIX prejudicam,20250215T113813584Z,1,0,1,20250215T113816550Z,luzgustobskysocial,ANTIFASCISTA,didplcw6hewrmicgqpqkcnhlgrf77i
atdidplcnvh6lhrd7qjzr7v42r6inkxfappbskyfeedpost3li5vlevbzk23,bafyreibogmafrd3s32aerejqcdcipnycvs3duwu3ofjhutouymjxp64smi,nota enviada Broadcast Banco Central problema mecanismo consulta às chaves Pix causou dificuldades usuários acessarem plataforma “Foi instabilidade momentânea resolvida sistema funciona normalmente” Banco Central,20250214T190727191Z,0,0,0,20250214T190731463Z,einvestidorbskysocial,Estadão Investidor,didplcnvh6lhrd7qjzr7v42r6inkxf
atdidplc5aena4gomup2ypvialdgg76aappbskyfeedpost3li3ft77cb222,bafyreiagwtnwgaw2ogxru2hctr3dvwtasw3q5foixpubkb2qhfdqlosifq,ano passado então presidente anterior banco central entrevista sistema Pix precisaria mais investimento orçamento sistema Pix prestes travar instabilidade vamos aguardar,20250213T192010316Z,0,0,1,20250213T192144849Z,spfc1claudemirbskysocial,Claudemir 🍻🔴⚪⚫,didplc5aena4gomup2ypvialdgg76a
atdidplc2sz7lzabaabo52nd2p2h722tappbskyfeedpost3li2xhv3p322w,bafyreihztwwdnyn6pgimcxua2aghx4ri6n3jb7up7advtllnwaapg5jaq4,🤖 Pix registra instabilidade operação Banco Central 📲 Autoridade monetária identificou problemas mecanismo consulta às chaves Pix atuou resolver problema ⬇️ Leia Poder360 wwwpoder360combrpoderflash,20250213T150318228Z,0,0,2,20250213T150325054Z,poder360bskysocial,Poder360,didplc2sz7lzabaabo52nd2p2h722t
atdidplchl5qwbghniwqup3j6r7xwekzappbskyfeedpost3li2xfnpdhk2s,bafyreibgqhuwjbs2t4hm5npclezdsc4eleydlwjyhhreqec2ozzeaakr54,🪙 Pix fica fora ar segunda semana Banco Central identificou tomou medidas resolver problema mecanismo consulta às chaves Pix,20250213T150203375Z,0,0,2,20250213T150207151Z,correiocbbskysocial,Correio Braziliense,didplchl5qwbghniwqup3j6r7xwekz
atdidplczwxl6dnun52q3ywiao2ad3ifappbskyfeedpost3li2xrho5eyv2,bafyreihgsommy5thbkjoo2edbxzgcquwd2urax4k7s3n4ftxotkswxyree,Pix fora ar Banco Central explica pane quintafeira httpstecnoblognetnoticiaspixforadoarbancocentralexplicapanedestaquintafeirautmsourceflipboardutmmediumactivitypub Posted into Tecnologia tecnologiaFlipboardBR,20250213T145925000Z,0,1,0,20250213T150910555Z,FlipboardBRflipboardcomapbridgy,Desconhecido,didplczwxl6dnun52q3ywiao2ad3if
atdidplczwxl6dnun52q3ywiao2ad3ifappbskyfeedpost3li2xf3tvmsq2,bafyreibfjmklm4tdaqavpd6so5o7vkcta2jturn25d5u7lgwhj2xwsymhq,Pix registra instabilidade operação Banco Central httpswwwpoder360combrpoderflashpixregistrainstabilidadedepoisdeoperacaodobancocentralutmsourceflipboardutmmediumactivitypub Posted into Notícias notciasFlipboardBR,20250213T145311000Z,0,0,0,20250213T150207949Z,FlipboardBRflipboardcomapbridgy,Desconhecido,didplczwxl6dnun52q3ywiao2ad3if
atdidplc4x3c3kkh2mah3rfjgfnktsgoappbskyfeedpost3li2vgih2gl2w,bafyreibm2av4pdhapjh4hbicsgllfdcbc4fb7ywcbvmrc77urmhfjx4k6q,Pix fora ar Banco Central explica pane quintafeira,20250213T142643221Z,0,1,6,20250213T142644053Z,tecnoblognet,Tecnoblog,didplc4x3c3kkh2mah3rfjgfnktsgo
atdidplckzkl2onyewbs7pehh2ellzcbappbskyfeedpost3li2uju3f2b2j,bafyreihuosb6itrubpccz3n6rjsrss7gt2m4jqoelkcdrdk7evcsc5flpa,Banco Central falha PIX causada instabilidade momentânea problema resolvido,20250213T141041292581Z,0,0,0,20250213T141043850Z,g1botrssadilsonnetbr,Notícias G1 oficial,didplckzkl2onyewbs7pehh2ellzcb
atdidplck5nlz72jgawedvvfwt24jacgappbskyfeedpost3li2ufjvz4c2g,bafyreibmp2bzvkblwer4rhrgf7rd2ew24r7hw5vsuyduoomllc7a4keace,Clientes diversos bancos relatam instabilidade quintafeira 132 movimentações Pix Banco Central posicionou Veja blog PIX FORA AR wwwibirajubanoticiascombr202502pix,20250213T140818173Z,0,0,0,20250213T140820659Z,ibirajubanoticiasbskysocial,IBIRAJUBA NOTÍCIAS,didplck5nlz72jgawedvvfwt24jacg
atdidplc2sfuxuntbbmf4gdr4ieod4oiappbskyfeedpost3li2osbarec2x,bafyreihz7rvmqkqk7ds33npmmzx2qnd5eeio6sueji7ujyq3aibvtv6iii,Preciso realizar pagamentos trabalho pix fora ar boa banco central,20250213T122802841Z,0,0,0,20250213T122805453Z,ramsermaryambskysocial,Ramser Maryam 🇧🇷,didplc2sfuxuntbbmf4gdr4ieod4oi
atdidplc6rwrm35yen5o4lqyfcqbpx72appbskyfeedpost3lhxuygp42222,bafyreig62oype5kkho76cb4nvq2hmyiwf3zwdbsh7hwdk3xtzzsdjxfugi,Pix aproximação estreia nova função sistema Banco Central impulsionar pagamentos comércio agendadopodercombrpixporapro,20250212T094053121Z,0,0,0,20250212T094053448Z,agendadopoderbskysocial,,didplc6rwrm35yen5o4lqyfcqbpx72
atdidplc5vd4jz7bfdesx2kepioukz6yappbskyfeedpost3lhwxoc3cr22v,bafyreia74ek3cp2gum64vkb5u63sqneo7e5amdskye5kflpjitpf62pqgy,Inclusive bom pagar pix segundos estar quitado sistema lindo parabéns banco central tanto,20250212T005614220Z,0,0,1,20250212T005614950Z,luarchavbskysocial,Raul,didplc5vd4jz7bfdesx2kepioukz6y
atdidplcy2eymcddnsio2f5iar4ikm3gappbskyfeedpost3lhuhamp5q222,bafyreigwdbhutttzanihdyegd2nlr2elgz5p7447wliy6suwwyl4imlmnu,Estudo NetLab Universidade Federal Rio UFRJ mostra Meta lucrou recente onda fake news torno Pix empresa recebeu pagamentos impulsionar divulgação anúncios fraudulentos mencionavam falsa taxação Pix sistema Valores Receber Banco Central,20250211T005656143Z,0,7,19,20250211T005659351Z,sejadeesquerdabskysocial,Rodrigo Arruda,didplcy2eymcddnsio2f5iar4ikm3g
atdidplcxe55pidfv3ahshbp3i75n7wbappbskyfeedpost3lhuahsgjnc2s,bafyreiesaybv5jlfvyth3k2wkxin2wvbnelxn2fp3guaf2jftxthpjt5wi,Pix serviço tipo MBway mantido banco central Brasil MILHÕES utilizadores sobretudo baixa renda pagamentos diaadia poderá interessar destruílo 🤔,20250210T225540942Z,1,1,0,20250210T225542558Z,hsoaresbskysocial,Hermínio Soares,didplcxe55pidfv3ahshbp3i75n7wb
atdidplc45vipy2akjyweypv3xrro3bdappbskyfeedpost3lhtc6rgbz22v,bafyreiez6i4nmkj4fl4avnbvu4jrlse75fpoblzzkgjwq46c33rg5xjthi,usado negócio banco central pedir devolução PIX sacanagem hahahahahaha,20250210T135345644Z,1,0,4,20250210T135347046Z,caiobitencourtbskysocial,Caio Bitencourt,didplc45vipy2akjyweypv3xrro3bd
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3lhp5i7nisp2s,bafyreidvto5bvl2rr5dvmgmxnkagvjahjolakctqmp7nol2uzjhei4ffj4,Transferências Pix caem 10 novo monitoramento fake news queda ocorreu Banco Central Brasil implementar novo sistema monitoramento detectar impeder transferências fraudulentas,20250208T1918544620300,0,0,0,20250208T221855354Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
atdidplc73jcrbymj4e4vpoe3cpqwtfnappbskyfeedpost3lho4lc75kg2p,bafyreidctcbibhfsix54oiiosok67kuphqosjoluj5db22dfxpdipeii6a,🚨 Pix problemas Banco Central alertou falhas sistema causando preocupação usuários Acompanhe atualizações garantir segurança transações,20250208T1230047356560000,0,0,0,20250208T123005458Z,dailywavebskysocial,🌊 DailyWave,didplc73jcrbymj4e4vpoe3cpqwtfn
atdidplcdec3jyiqgrhbdml5fsbstrydappbskyfeedpost3lhmval4b7s2f,bafyreihjdjyc7qmli2yiaogh6y2yg3vwampxrxfpnltdu267bl6cat3ypy,porra pix banco central,20250208T004609058Z,0,0,0,20250208T004611970Z,12gatosbskysocial,Velha sofa,didplcdec3jyiqgrhbdml5fsbstryd
atdidplcpn3epepg7ipg7vuyrqmqb2qeappbskyfeedpost3lhmsnovixk2i,bafyreigo2l36pjknfrrqml7xa4exupb5c6lpmf2pkhd3cqitmpxum2pftm,Sistema Pix fica fora dor ar diversos bancos Banco Central informou meio comunicado serviço “retornando normalidade” sistema pagamentos Pix enfrentou falha generalizada tarde sextafeira 72 afetando milhares usuários bancos serviços…,20250207T235947Z,0,0,0,20250207T235948660Z,manaustimebskysocial,manaustimecom,didplcpn3epepg7ipg7vuyrqmqb2qe
atdidplc2f6bfwcojvvddfowrjbdcpbaappbskyfeedpost3lhmhjghcbk2a,bafyreiar2ojasuu3okrqjxz6u7bysvkoognry2wyxw4zbrsvxdnolx6mwi,Deu ruim Erro afeta Nubank Itaú PicPay bancos Pix fora ar hoje busca alta Google Downdetector aponta mais 242 registros reclamações falha serviço Banco Central,20250207T204033783Z,0,1,1,20250207T204043260Z,sgourgentebskysocial,Gonçalo Urgente 📢,didplc2f6bfwcojvvddfowrjbdcpba
atdidplc2f6bfwcojvvddfowrjbdcpbaappbskyfeedpost3lhmhiacjt22a,bafyreieghbimqfjl5itaxu54jqgzwc5smiyiwys5vy3wo272uw2c3f4eze,Pix fora ar Serviço fica instável diversos bancos Reclamações Pix fora ar Banco Central instituições financeiras aumentaram tarde sexta 7,20250207T203953780Z,0,1,1,20250207T204005262Z,sgourgentebskysocial,Gonçalo Urgente 📢,didplc2f6bfwcojvvddfowrjbdcpba
atdidplchl5qwbghniwqup3j6r7xwekzappbskyfeedpost3lhmbamdpfs2k,bafyreigm54qojg4fbqzolryicxbuxsyymppmmmfsy6lpdmrhybixpcogge,📰Usuários reclamam instabilidade Pix Banco Central manifesta Problemas mais notificados transferência 73 reclamações pagamentos 22 acesso aplicativo móvel 5,20250207T184815516Z,0,0,1,20250207T184818248Z,correiocbbskysocial,Correio Braziliense,didplchl5qwbghniwqup3j6r7xwekz
