uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
atdidplc7il2g72a5ltweawli7rmj7c5appbskyfeedpost3li5x7qpxqc25,bafyreie4nbw3tke66rig7cxhpumubvb4koni7uvzc56xif7ulnrfs3c6xq,precisa sair pesquisa alô Quaest pra ajudar mensurar aí dados cristalino desastre queda brutal aprovação eleitorado chave Lula renda 2SM menor escolaridade tô chocado aqui fake news Pix explique si,20250214T193644429Z,1,0,16,20250214T193644151Z,joaovitorjvbskysocial,João Vitor,didplc7il2g72a5ltweawli7rmj7c5
atdidplctq3inrxf37vjq7poowcd4lyyappbskyfeedpost3li5wqfmgbk26,bafyreigwb6qioxl76pxtdnmycm2v7yhuar2d5ejutl3atgpq2yq7pfnzni,difícil recuperar fake news pix taxadd,20250214T192809462Z,0,0,0,20250214T192810852Z,enkimarubskysocial,Enki,didplctq3inrxf37vjq7poowcd4lyy
atdidplcdk644jtqur3mvxphdwuawi25appbskyfeedpost3li2uduhno224,bafyreibi5bf774agi2s5twu6dwu4hrfhhjrzofkt5voxbv6ogluopohzai,DESINFORMAÇÃO Onda fake news bolsonaristas Pix abriu espaço mais 17 mil golpes vqvmeZGH Estudo mostra q desinformação explorou vulnerabilidades população gerou lucro Meta 40 postagens levavam páginas falsas passavam sites instituições públicas,20250213T140722129Z,2,8,14,20250213T140727652Z,marcianobritobskysocial,Marciano Brito,didplcdk644jtqur3mvxphdwuawi25
atdidplcy2eymcddnsio2f5iar4ikm3gappbskyfeedpost3lhuhamp5q222,bafyreigwdbhutttzanihdyegd2nlr2elgz5p7447wliy6suwwyl4imlmnu,Estudo NetLab Universidade Federal Rio UFRJ mostra Meta lucrou recente onda fake news torno Pix empresa recebeu pagamentos impulsionar divulgação anúncios fraudulentos mencionavam falsa taxação Pix sistema Valores Receber Banco Central,20250211T005656143Z,0,7,19,20250211T005659351Z,sejadeesquerdabskysocial,Rodrigo Arruda,didplcy2eymcddnsio2f5iar4ikm3g
atdidplcwo6oy3dqxztq6txdzo42x2feappbskyfeedpost3lhucn66sts24,bafyreib3x64whn4zhgmp7k43cxdromp4aqg56oj5o6jt7px54gvjge4tfm,tá recebendo pix fãs Matteus pra falar fake news,20250210T233428531Z,3,0,0,20250210T233428853Z,elizaaraujabskysocial,Elizaaraujo,didplcwo6oy3dqxztq6txdzo42x2fe
atdidplc764wt4th6dnva3smdtabuhb3appbskyfeedpost3lhth22r5jk2o,bafyreiezn4nnvmlw2fbomq4cujiskqopu7hm4v3f54iazik6fxuqb6ut4m,gente tá menos mínimo viu ficar apagando fogo criado bolsonarista tempo fake news Pix anistia semipresidencialismo transfobia país sério parlamentar teria tanta imunidade falar merda ser lesapátria,20250210T152036369Z,0,0,4,20250210T152037565Z,dleobskysocial,D,didplc764wt4th6dnva3smdtabuhb3
atdidplctv7p743ur5d6fongxhjfltrvappbskyfeedpost3lhtemgop6s2w,bafyreigqfbwn3v7wj4ambouq4exiuwb6ca5lqifuo22nkvithalilyp3oa,🇧🇷 Parece Meta beneficiou fake news pix brasileiros Lucro 🤑🤑🤑🤑🤑🤑,20250210T143711631Z,1,0,0,20250210T143712761Z,rosepaixaobskysocial,Rose Paixão Fim escala 6x1,didplctv7p743ur5d6fongxhjfltrv
atdidplc7xvo5igdq4wyk3mhu4fsubcxappbskyfeedpost3lhruhrmn5k26,bafyreibaomigtmoo3lbtx4r5udq7xeddw3t27ccfuerib3d5vylrmcbhfu,Meta lucrou onda fake news fiscalização Pix aponta estudo Pesquisa NetLab identificou 1770 anúncios fraudulentos redes sociais exploravam insegurança causada desinformação Resistencia2412Dias Siga BlueSky DilmaResiste,20250210T001535718Z,0,6,27,20250210T001602951Z,dilmaresistebskysocial,Dilma Resistente,didplc7xvo5igdq4wyk3mhu4fsubcx
atdidplcdhhbpz3nxfaijqbpclifiyvvappbskyfeedpost3lhrooggvsk2v,bafyreid55ahe5e4dsijmnz7t7hqd46vybyot3ojzobh4hehslkbw6bkuaa,solução ignorar conteúdos Nikolas engajamento comentando trabalhei pessoas alfabetizadas acesso às redes cairam Fake news Pix erro rede regulação Aliás ignorar direita fracassou bonito,20250209T223156427Z,0,0,0,20250209T223157455Z,kennedymatosbskysocial,Kennedy,didplcdhhbpz3nxfaijqbpclifiyvv
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3lhphrruunn2j,bafyreiblg4f25xnkynd32flonjajjocwnmdtyxcm5lxmd6y2b7adx4nhzi,Governo Brasileiro decidiu recuar desistir fiscalização PIX onda fake news medida,20250208T2223129850300,0,0,0,20250209T012313655Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
