uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
atdidplcrprlhdnjmo6ir3wcxopuj7adappbskyfeedpost3li5zeaszs22k,bafyreibtehktyedc7n2yg5feiqknlfoa7ot4jyz7ahg3e5rrbqveve7uge,tantos erros tantas cagadas pior critica so dobravam aposta unica pra manterem firmes portaria fiscalização pix arredaram pra trás derrota moral feia,20250214T201503008Z,0,0,1,20250214T201503156Z,docevampirinhobskysocial,demônio meiodia,didplcrprlhdnjmo6ir3wcxopuj7ad
atdidplcjcembsosdhrfcejvsjm6shtbappbskyfeedpost3lhvsr7jtsr2h,bafyreicpxv335ooq3pus54mkbugvtof3cyjum4uhekmcstda53mezetatq,Fiscalização Pix maioria população sabia do… Lucas Mathias Tema levou dor cabeça Palácio Planalto durante mês janeiro ampliação fiscalização Pix teve redes sociais repercussão negativa meio onda desinformação dificuldade de…,20250211T135543Z,0,0,0,20250211T135545152Z,acrenoticiasbskysocial,Acre Notícias,didplcjcembsosdhrfcejvsjm6shtb
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3lhtnkorm432n,bafyreigdbjtpibbi6utqfdwct467g4hg2pszih737rkqwxeo2szkqbuo4y,revogação fiscalização Pix considerada positiva especialistas acreditam levar problemas futuro,20250210T1417162510300,0,0,0,20250210T171716765Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
atdidplchtvcvshwlgrosxd247ejbxqjappbskyfeedpost3lhtcyhszqs2t,bafyreihx2pzl5nn7df7slka52ruldhnr2x6bo6zrqatyjf3aycsdtul5de,🚨 ONDE PARAR 45 BILHÕES EMENDAS 💸 1️⃣ Quase metade emendas cidades mais pobres gasta transparência Municípios IDH baixo receberam 47 repasses via Pix modelo rápido fiscalização Segue fio 🧶,20250210T140807984Z,1,0,0,20250210T140816255Z,wesleysousabskysocial,Wesley Sousa,didplchtvcvshwlgrosxd247ejbxqj
atdidplc7xvo5igdq4wyk3mhu4fsubcxappbskyfeedpost3lhruhrmn5k26,bafyreibaomigtmoo3lbtx4r5udq7xeddw3t27ccfuerib3d5vylrmcbhfu,Meta lucrou onda fake news fiscalização Pix aponta estudo Pesquisa NetLab identificou 1770 anúncios fraudulentos redes sociais exploravam insegurança causada desinformação Resistencia2412Dias Siga BlueSky DilmaResiste,20250210T001535718Z,0,6,27,20250210T001602951Z,dilmaresistebskysocial,Dilma Resistente,didplc7xvo5igdq4wyk3mhu4fsubcx
atdidplctv7p743ur5d6fongxhjfltrvappbskyfeedpost3lhqszb4d522s,bafyreigzxr2yzqhmvgtji6pfkvhyyymatvs7wv7oissdvuqhwgwtgyjv7y,emendas parlamentares vergonha favorecendo eleitoralmente mentirosos prometeram campanha melhorar vida povo mendas pix recusaram fiscalização então🤔,20250209T141655165Z,0,0,0,20250209T141656657Z,rosepaixaobskysocial,Rose Paixão Fim escala 6x1,didplctv7p743ur5d6fongxhjfltrv
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3lhqsw5q5tj23,bafyreigpzokmkxlby2jabzxdrf4ugtg6svbbnf353fcu5b74rzbmldecfq,governo brasileiro decidiu recuar revogar fiscalização Pix medida implementada denúncias uso serviço lavagem dinheiro,20250209T1115105230300,0,0,0,20250209T141511054Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3lhphrruunn2j,bafyreiblg4f25xnkynd32flonjajjocwnmdtyxcm5lxmd6y2b7adx4nhzi,Governo Brasileiro decidiu recuar desistir fiscalização PIX onda fake news medida,20250208T2223129850300,0,0,0,20250209T012313655Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
atdidplcyhdyinfgagzjlr2spaxv2mstappbskyfeedpost3lhot2clsxk2j,bafyreibcqlzvzybjphlwckcrs2r2rmne5cl7lpwwxjxhpbj25dgqcencui,QUEREM TIRAR FAKE NEWS NÉ 🚩Meta lucrou onda fake news fiscalização Pix aponta estudo Pesquisa NetLab identificou 1770 anúncios fraudulentos redes sociais exploravam insegurança causada desinformação revistaforumcombrcienciaete,20250208T191210799Z,0,2,11,20250208T191220756Z,akaishiribskysocial,Akai,didplcyhdyinfgagzjlr2spaxv2mst
atdidplcjwrvr75ryt5a73kwm4vdxkw7appbskyfeedpost3lhmysheix324,bafyreigi6pvaogcwfqs3jpru3drs2zduffpvjkgvrpa26ne2d663ovupkm,fiscalização punição trabalho escravotrabalha surdina salvar amigos corruptos aprovar nósque criam fake news pixprejudicam abertamente Brasil brasileirosespecialmente mais pobres vamos ficar tempo reféns,20250208T014950339Z,1,0,1,20250208T014950640Z,meurefugionerdbskysocial,🍥MEU REFUGIO NERDLUKE🍥,didplcjwrvr75ryt5a73kwm4vdxkw7
