uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
atdidplckxdzo7bmqipmf56gafsp7mwoappbskyfeedpost3lgkt3e2a522k,bafyreigd7ncpezcpmmyxzcqblygvttigpme7xer7dc6g2geg5fqahonf3i,Estadão ajuda botar fogo país história Pix Estadão crítica governo combater sonegação cansa viu,20250125T113655293Z,0,0,8,20250125T113658050Z,borboletazulgabibskysocial,Gabi 🦋💙,didplckxdzo7bmqipmf56gafsp7mwo
atdidplcvbaujerwgeiryxultuk2c6ymappbskyfeedpost3lgksfyppmk2w,bafyreib7yvgdp5hvcyeflfhrp4e7j5vxxzzfqz3omiieki32t5y3smdvpq,Pix ‘O sonegador agradece’ – revogar medida ampliava escopo combate sonegação País corre risco seriedade luta crime manchada internacionalmente Estadão Editorial,20250125T112458771Z,2,5,35,20250125T112704551Z,blogdonoblatbskysocial,Blog Noblat,didplcvbaujerwgeiryxultuk2c6ym
atdidplcxrfzlqmcnwgcsuogwilrmfnyappbskyfeedpost3lgiwopayns2z,bafyreienxvojgi23l3goy4n5je2e67jaxc34dedhws7tx5sibcyy6tudae,necessidade escolha atuam registro formal buscando alternativas garantir renda 2025 Receita Federal intensifica combate sonegação aumentando riscos prática Leia matéria completa aqui wwwjornalcontabilcombrpixnotasfi,20250124T173606332Z,0,0,0,20250124T173609554Z,jornalcontabilbskysocial,Jornal Contábil,didplcxrfzlqmcnwgcsuogwilrmfny
atdidplcshe7c5ct6tcwouimzmrkwnj6appbskyfeedpost3lgih4gtrkk2k,bafyreieb3j4tw2cud3dfrarwdrunnfkqkzrsfmroos5tfx4uwbzixmzwdm,Temos FATO Receita combate SONEGAÇÃO informações PIX precisamos concordar governo usaria nova medida aumentar arrecadação achamos importa hipóteses vieses,20250124T125727403Z,0,0,0,20250124T125729656Z,manegoldsteinbskysocial,Mané Goldstein,didplcshe7c5ct6tcwouimzmrkwnj6
atdidplcxwdf2nlom45mmpdn6nmhvhg7appbskyfeedpost3lgaq5pgbtc2o,bafyreibzhrjn2sncff2aombgjlxiy74slbzsoi52dzqjjfu6zidjuzdvmi,Mais governo revolta Pix demonstração intolerância relação Estado Boa parte população viu decisão Receita ameaça suposto direito sonegação artigo hoje wwwcorreiodamanhacombrcolunistasf,20250121T111755720Z,1,1,3,20250121T111803353Z,fernandomolicabskysocial,Fernando Molica,didplcxwdf2nlom45mmpdn6nmhvhg7
atdidplcieqxkehaos4jennpbaasdzbbappbskyfeedpost3lg2snerl5c2b,bafyreieltoc5g7kaoxuytt2wcbs2wbywlx2ouiarmsk7izhhjgypdbm5ea,Precisamos questionar perdões bilionários sim pq dívidas apesar termos questões trabalhistas tratar caso falências volume sonegação anual pix impactante tbm pá igual maior mais crimes quantidade,20250119T024630241Z,1,0,9,20250119T024630776Z,ofelipeleegamedesignhubcom,Felipe Lins 扁豆騎士 🎮Indiana JonesFantasian Neo Dimension 2024,didplcieqxkehaos4jennpbaasdzbb
atdidplc6rwzfhpnigopu3yi5bsohw3xappbskyfeedpost3lg2b7ebx722f,bafyreicp6li7azeoiyxjwmmbyhpkzwo2gxqo3tqyr5b52uhsul7hnludse,ALÔ DEMOCRATAS SOCIAIS SONEGADORES VERDADE LULAA EQUIPE TENTAREM BLOQUEAR SAQUE DESONESTO LADINAGEM SONEGAÇÃO MEDALHÕES GOLPE ditos BOLSONARISTAS VOMITAM BALAIOS MENTIRAS ATAQUES GOVERNO assim PIX qualquer ação BANDIDAGEM,20250118T213426577Z,0,0,3,20250118T213434451Z,7w0e9bbskysocial,dorivalaltini,didplc6rwzfhpnigopu3yi5bsohw3x
atdidplc4awdkh7kpovqxcezn7hthrwvappbskyfeedpost3lfyfdcxkhs2d,bafyreib4vsi7runexbldttbsp6yqtmg7zfu5t2u2t34uk4lgectiuqx6le,Siminclusive importantíssimo q gov adote medidas pra combater sonegação níveismas pq lei obriga q signifique q maioria declare direitinho ganhosnão toa q tanta gente ficou medoo pix hoje usado pequeno comércio pra precisar emitir nota,20250118T034254915Z,2,0,1,20250118T034256954Z,mletybskysocial,Maria Letícia,didplc4awdkh7kpovqxcezn7hthrwv
atdidplcwiziqaakmgvcid3uvxpjank4appbskyfeedpost3lfxvhhnirc2f,bafyreihmpvt3oyexta6zm3l2wjfg2khb3v4chi657arsnsmihkbneetdvy,corrija estiver errado pix taxado sim imposto renda mecanismo ótimo pra dificultar sonegação comerciante levar pra casa esconder colchão Pra melhorar implantando imposto progressivo,20250117T225854177Z,1,0,1,20250117T225856858Z,vianna034bskysocial,Anarco otario,didplcwiziqaakmgvcid3uvxpjank4
atdidplcbbt7d5ndt6diq4b7kz6b5pyjappbskyfeedpost3lfxdg367ok2v,bafyreihfmsrtxlbxwk57nittlvyiiwf7f32msalppojddkg4dighykwvaq,saída estacionamento privado centro Rio hoje recepcionista apresentou maquininha avisava “ aceitamos dinheiro cartão débito pix não” Paguei R 2000 MEIA HORA local alta rotatividade Entenderam razão gritaria sonegação BR gigante,20250117T173600187Z,0,0,1,20250117T173601270Z,iriscastanho25bskysocial,Ruiva Carioca,didplcbbt7d5ndt6diq4b7kz6b5pyj
atdidplcvoz4bug2wgub6r7d2ojv3lrzappbskyfeedpost3lfvq264qcc2y,bafyreiatuolfzwqu2kkflniylkwtg7qrwkmekkl2evl7jasr35zelytf7i,falando gadomas precisa q mentira mantenha p 1não ser investigadoa sonegação fiscal 2manter envios PIX iludidos seguidores 3tentar novo golpear meio fake news Democracia brasileira FakeNews q ser ENFRENTADA DESMASCARADA,20250117T021639797Z,1,6,30,20250117T021640150Z,crisvieiras1bskysocial,Cris Vieira,didplcvoz4bug2wgub6r7d2ojv3lrz
atdidplcibprysysbpk4szsqga5oyxrmappbskyfeedpost3lfvm4d6v722o,bafyreic3523x5cwjlbedepxfiqk7wbcivljaym2iztknlge4kilyctsxb4,mentira sonegação lavagem dinheiro venceram batalha Pix,20250117T010617248Z,0,1,2,20250117T010624306Z,simeonelulabskysocial,Simeone Lula,didplcibprysysbpk4szsqga5oyxrm
