uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:eho7k3rmklxohde7544ivscl/app.bsky.feed.post/3lhyes6r4j22z,bafyreiar3yfidjb6jek3drbgyp73mdh4ve3a5dvigtkvbc7gub2mkgjmnu,98% das pessoas que vão assistir o vídeo ironia lacradora. E que acharam que iam pagar imposto por receber dinheiro de pix.,2025-02-12T14:23:43.340Z,1,0,0,2025-02-12T14:23:44.060Z,donalilian.bsky.social,Lilian,did:plc:eho7k3rmklxohde7544ivscl
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhiudbxdcu2b,bafyreihe2o4pw7tgzojyki6lwrkjvbegp6gwdtivldy2mg24x6nahnocgq,"A tecnologia Pix, desenvolvida pela Caixa Econômica Federal, foi alvo de uma notícia falsa que circula em redes sociais. A notícia afirma que a taxa do Pix vai aumentar e que os usuários devem pagar um imposto não existente.",2025-02-06T07:19:06.990-03:00,0,0,0,2025-02-06T10:19:07.751Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:7btmh7yvcw2haupnnhhkddh7/app.bsky.feed.post/3lhhpqzkacc2e,bafyreieh4jyuo5ei7khcmc5vwve62pjfifcu77cfuelmw4gkk2mrb6nbwe,"Minha prof reclamando do estado, falando do imposto do pix, que biroliro isentou o caralho a quatro, mas quando se trata desse tipo de papo não é doutrinação",2025-02-05T23:24:39.925Z,1,1,16,2025-02-05T23:24:40.650Z,lixeletto.bsky.social,Cu & Código,did:plc:7btmh7yvcw2haupnnhhkddh7
at://did:plc:aigr6gngpp3r7kfz7ew3u4ib/app.bsky.feed.post/3lhhc25bq6c2f,bafyreigqz2geebxdq3pw5idnptdrhesntmnlf7vgyhxk7swwyswgbvossi,"O amiguinho lá do vídeo de fake news do pix votou contra baixar o imposto da cesta básica, depois vai pro congresso dizer que eles querem a volta da comida mais barata

isso aqui precisa circular muito",2025-02-05T19:19:13.446Z,0,0,1,2025-02-05T19:19:14.153Z,renatacoelho.bsky.social,Renata Coelho,did:plc:aigr6gngpp3r7kfz7ew3u4ib
at://did:plc:7y5ugksbnmpi442o6c3uot56/app.bsky.feed.post/3lhgmsqm4ys26,bafyreibndmhdfc6y5svq7dxknsbixm323nwownswqivmzzwu6luurwyueq,"eu vou incluir nosso ministro da fazenda Raddad:
Brasil todo girando em cima do pix e o cara se atrapalha todo pra explicar que quer mexer e bisbilhotar ali

Enquanto isso a SELIC - que é mecanismo de transferência de renda pros mais ricos - galopante e ZERO notícia de imposto pros mais ricos, paia",2025-02-05T12:59:16.695Z,2,0,2,2025-02-05T12:59:17.049Z,sul-planetario.bsky.social,Ekos do Sul Planetário 🇧🇷,did:plc:7y5ugksbnmpi442o6c3uot56
at://did:plc:azwdmf4xddlgusokw6ir6jci/app.bsky.feed.post/3lhcjvganac2h,bafyreihydu23rwmfqozzgw2oywhpbaattcqdjceh727u6kkdxsrrkbaegy,"@lula.com.br Outra pauta que precisa evoluir a da isenção do imposto de renda para quem ganha até 5 mil reais. Comunicação foi feita em novembro de 2024 e até agora a proposta não foi encaminha ao congresso. Se tivesse sido aprovada, o impacto da portaria do pix teria sido menor.",2025-02-03T21:56:26.317Z,0,0,0,2025-02-03T21:56:27.268Z,wennersoares.bsky.social,,did:plc:azwdmf4xddlgusokw6ir6jci
at://did:plc:j3ta6sgasdvvgrk6hpgqzeo3/app.bsky.feed.post/3lhc567cvec2k,bafyreidfat22fjrumch6zgsb7qidmt5jicppdy4h2blbkszmafmplvrpje,"Trouxe meu cachorro para tomar banho no petshop.

Aí a funcionária conversando no celular aqui:

""... Aí a gente vai ter que cobrar o imposto sobre o Pix...""",2025-02-03T18:08:42.370Z,0,0,0,2025-02-03T18:08:45.051Z,gabrieljbc.bsky.social,Gabriel Carvalho,did:plc:j3ta6sgasdvvgrk6hpgqzeo3
at://did:plc:eospa2m43mwafp7hl25c457c/app.bsky.feed.post/3lhbugaiy322h,bafyreicdiyooi5puqha2ydx3twdsh6pllnphimstd7hihfmtjsh3r7r32u,"Artigo | Onde há fumaça, há imposto!

O ""tsunami do Pix"" foi a materialização do fenômeno da rejeição social ao tributo, derivada da perda de legitimidade do sistema tributário 

www.jota.info/artigos/onde...",2025-02-03T15:32:08.403Z,0,0,0,2025-02-03T15:32:14.462Z,jotainfo.bsky.social,JOTA,did:plc:eospa2m43mwafp7hl25c457c
at://did:plc:5vsjvsstt4r5sgszdjhf3n27/app.bsky.feed.post/3lh7ix3rxdk2p,bafyreicpego5guxbhiz2nfj6buqvs2rx25piho6bmcttifecchb22lx2cu,Não era exatamente imposto sobre o PIX mas impostos sobre os ganhos que o PIX revelava.,2025-02-02T17:01:29.502Z,1,0,1,2025-02-02T17:01:30.057Z,paulosimoesdini.bsky.social,Paulo Simões Diniz,did:plc:5vsjvsstt4r5sgszdjhf3n27
at://did:plc:i5dakrpp27zg3rtmryi6t2aq/app.bsky.feed.post/3lh37vgo7ms2o,bafyreicaw3jcmehzqpoj7i4qegkdyxofnhhodjdb4nflgls2ixjh2ta2qy,"""Mas e o imposto imaginário sobre Pix?"" Quem tá empregado tá mais preocupado com imposto imaginário sobre o pix do que com taxa de emprego e esse é o ""problema"" do pleno emprego, todo mundo tá empregado para reclamar do imposto imaginário do Pix.",2025-02-01T00:08:51.176Z,1,0,1,2025-02-01T00:08:52.156Z,jhugo.bsky.social,Hugo,did:plc:i5dakrpp27zg3rtmryi6t2aq
at://did:plc:x7akfjrzmcz4opquasve7pid/app.bsky.feed.post/3lgzzusdhpk2s,bafyreidzm5dsq4mhhepzblu4ivl6bm45amvnso6q4vwbgkzxusqr2qp4ei,Mas os bancos estão TARIFANDO o PIX e governo @fernandohaddad.bsky.social CONTINUA CALADINHO QUANTO ISSO !.. Imposto ou tarifa que diferença faz para quem PAGA? O PIX não pertence a nenhum banco ele é um software público... ACORDEM @pt.org.br @gleisi.bsky.social @lula.com.br,2025-01-31T12:48:27.663Z,0,0,0,2025-01-31T12:48:28.248Z,paulocosta11.bsky.social,Político revolucionário.,did:plc:x7akfjrzmcz4opquasve7pid
