uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:pn3epepg7ipg7vuyrqmqb2qe/app.bsky.feed.post/3lig6jiwbkp2g,bafyreiha36zju4omj7bvqc7oabwgjozjreazvgszpk3jyahrq35dhygg7m,"PIX por aproximação começa no próximo dia 28; saiba como vai funcionar

Ambiente que viabiliza a modalidade de pagamento foi regulamentado pelo Banco Central em agosto de 2024 A partir do dia 28 de fevereiro, os brasileiros poderão utilizar uma nova modalidade de pagamento para efetuar transações –…",2025-02-18T02:08:44Z,0,0,0,2025-02-18T02:08:47.256Z,manaustime.bsky.social,manaustime.com,did:plc:pn3epepg7ipg7vuyrqmqb2qe
at://did:plc:p54cejrok4ssm7clwecv7mxi/app.bsky.feed.post/3liarqx5phk2w,bafyreieeq2sh5tlc5h4jbkusamtmukbgzc6rdqkjtqnasg6ldmohzzakzm,"📢

“Hoje”: William Bonner paralisa JN com anúncio de suspensão do PIX e alerta geral do Banco Central aos cor … – TV Foco

https://fatolink.com/hoje-william-bonner-paralisa-jn-com-anuncio-de-suspensao-do-pix-e-alerta-geral-do-banco-central-aos-cor-tv-foco/",2025-02-15T22:36:58.315616+00:00,0,0,0,2025-02-15T22:36:58.459Z,fatolink.bsky.social,FatoLink,did:plc:p54cejrok4ssm7clwecv7mxi
at://did:plc:w6hewrmicgqpqkcnhlgrf77i/app.bsky.feed.post/3li7mwzfa6s2g,bafyreidq6e4qx4mxgezfxelw75ncnvx5a7xenmjdtwlio664kvn7tzplfu,"Carne, café, hortifrutis, derivados do leite, estão caros e o povo (nós) está sentindo.
Essas coisas, além da absurda política dos juros altos, praticados pelo Banco Central já com Galípolo comandando, estão corroendo o governo Lula.
Lógico que as Fake News, como a do PIX, também prejudicam muito.",2025-02-15T11:38:13.584Z,1,0,1,2025-02-15T11:38:16.550Z,luzgusto.bsky.social,ANTIFASCISTA,did:plc:w6hewrmicgqpqkcnhlgrf77i
at://did:plc:nvh6lhrd7qjzr7v42r6inkxf/app.bsky.feed.post/3li5vlevbzk23,bafyreibogmafrd3s32aerejqcdcipnycvs3duwu3ofjhutouymjxp64smi,"Em nota enviada ao Broadcast, o Banco Central disse que o problema foi no mecanismo de consulta às chaves do Pix, o que causou dificuldades para os usuários acessarem a plataforma. “Foi uma instabilidade momentânea, que foi resolvida e o sistema funciona normalmente”, disse o Banco Central.",2025-02-14T19:07:27.191Z,0,0,0,2025-02-14T19:07:31.463Z,einvestidor.bsky.social,Estadão Investidor,did:plc:nvh6lhrd7qjzr7v42r6inkxf
at://did:plc:5aena4gomup2ypvialdgg76a/app.bsky.feed.post/3li3ft77cb222,bafyreiagwtnwgaw2ogxru2hctr3dvwtasw3q5foixpubkb2qhfdqlosifq,"No ano passado, o então presidente anterior do banco central disse em entrevista que o sistema do Pix precisaria de mais investimento do orçamento ...será que o sistema do Pix está prestes a travar ou só e uma instabilidade... vamos aguardar",2025-02-13T19:20:10.316Z,0,0,1,2025-02-13T19:21:44.849Z,spfc1claudemir.bsky.social,Claudemir 🍻🔴⚪⚫,did:plc:5aena4gomup2ypvialdgg76a
at://did:plc:2sz7lzabaabo52nd2p2h722t/app.bsky.feed.post/3li2xhv3p322w,bafyreihztwwdnyn6pgimcxua2aghx4ri6n3jb7up7advtllnwaapg5jaq4,"🤖 Pix registra instabilidade depois de operação do Banco Central 

📲 Autoridade monetária identificou problemas no mecanismo de consulta às chaves Pix e atuou para resolver o problema 

⬇️ Leia no Poder360:
www.poder360.com.br/poder-flash/...",2025-02-13T15:03:18.228Z,0,0,2,2025-02-13T15:03:25.054Z,poder360.bsky.social,Poder360,did:plc:2sz7lzabaabo52nd2p2h722t
at://did:plc:hl5qwbghniwqup3j6r7xwekz/app.bsky.feed.post/3li2xfnpdhk2s,bafyreibgqhuwjbs2t4hm5npclezdsc4eleydlwjyhhreqec2ozzeaakr54,"🪙 Pix fica fora do ar pela segunda vez em uma semana

Banco Central disse que identificou e tomou medidas para resolver um problema no mecanismo de consulta às chaves do Pix",2025-02-13T15:02:03.375Z,0,0,2,2025-02-13T15:02:07.151Z,correiocb.bsky.social,Correio Braziliense,did:plc:hl5qwbghniwqup3j6r7xwekz
at://did:plc:zwxl6dnun52q3ywiao2ad3if/app.bsky.feed.post/3li2xrho5eyv2,bafyreihgsommy5thbkjoo2edbxzgcquwd2urax4k7s3n4ftxotkswxyree,"Pix fora do ar: Banco Central explica pane desta quinta-feira
https://tecnoblog.net/noticias/pix-fora-do-ar-banco-central-explica-pane-desta-quinta-feira/?utm_source=flipboard&utm_medium=activitypub 

Posted into Tecnologia @tecnologia-FlipboardBR",2025-02-13T14:59:25.000Z,0,1,0,2025-02-13T15:09:10.555Z,FlipboardBR.flipboard.com.ap.brid.gy,Desconhecido,did:plc:zwxl6dnun52q3ywiao2ad3if
at://did:plc:zwxl6dnun52q3ywiao2ad3if/app.bsky.feed.post/3li2xf3tvmsq2,bafyreibfjmklm4tdaqavpd6so5o7vkcta2jturn25d5u7lgwhj2xwsymhq,"Pix registra instabilidade depois de operação do Banco Central
https://www.poder360.com.br/poder-flash/pix-registra-instabilidade-depois-de-operacao-do-banco-central/?utm_source=flipboard&utm_medium=activitypub 

Posted into Notícias @not-cias-FlipboardBR",2025-02-13T14:53:11.000Z,0,0,0,2025-02-13T15:02:07.949Z,FlipboardBR.flipboard.com.ap.brid.gy,Desconhecido,did:plc:zwxl6dnun52q3ywiao2ad3if
at://did:plc:4x3c3kkh2mah3rfjgfnktsgo/app.bsky.feed.post/3li2vgih2gl2w,bafyreibm2av4pdhapjh4hbicsgllfdcbc4fb7ywcbvmrc77urmhfjx4k6q,Pix fora do ar: Banco Central explica pane desta quinta-feira,2025-02-13T14:26:43.221Z,0,1,6,2025-02-13T14:26:44.053Z,tecnoblog.net,Tecnoblog,did:plc:4x3c3kkh2mah3rfjgfnktsgo
