uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:7il2g72a5ltweawli7rmj7c5/app.bsky.feed.post/3li5x7qpxqc25,bafyreie4nbw3tke66rig7cxhpumubvb4koni7uvzc56xif7ulnrfs3c6xq,"precisa sair outra pesquisa (alô Quaest) pra ajudar a mensurar isso aí. mas os dados são um cristalino desastre. queda brutal na aprovação no eleitorado chave do Lula, de renda até 2SM e com menor escolaridade. tô chocado aqui, não tem fake news do Pix que explique por si só",2025-02-14T19:36:44.429Z,1,0,16,2025-02-14T19:36:44.151Z,joaovitorjv.bsky.social,João Vitor ,did:plc:7il2g72a5ltweawli7rmj7c5
at://did:plc:tq3inrxf37vjq7poowcd4lyy/app.bsky.feed.post/3li5wqfmgbk26,bafyreigwb6qioxl76pxtdnmycm2v7yhuar2d5ejutl3atgpq2yq7pfnzni,difícil recuperar da fake news do pix e taxadd,2025-02-14T19:28:09.462Z,0,0,0,2025-02-14T19:28:10.852Z,enkimaru.bsky.social,Enki,did:plc:tq3inrxf37vjq7poowcd4lyy
at://did:plc:dk644jtqur3mvxphdwuawi25/app.bsky.feed.post/3li2uduhno224,bafyreibi5bf774agi2s5twu6dwu4hrfhhjrzofkt5voxbv6ogluopohzai,"DESINFORMAÇÃO
Onda de fake news de bolsonaristas sobre Pix abriu espaço para mais de 1,7 mil golpes
vqv.me/ZGH
Estudo mostra q desinformação explorou vulnerabilidades da população e gerou lucro para a Meta; 40% das postagens levavam a páginas falsas que se passavam por sites de instituições públicas",2025-02-13T14:07:22.129Z,2,8,14,2025-02-13T14:07:27.652Z,marcianobrito.bsky.social,Marciano Brito,did:plc:dk644jtqur3mvxphdwuawi25
at://did:plc:y2eymcddnsio2f5iar4ikm3g/app.bsky.feed.post/3lhuhamp5q222,bafyreigwdbhutttzanihdyegd2nlr2elgz5p7447wliy6suwwyl4imlmnu,"Estudo do NetLab da Universidade Federal do Rio (UFRJ) mostra que a Meta lucrou com a recente onda de fake news em torno do Pix. A empresa recebeu pagamentos para impulsionar a divulgação de anúncios fraudulentos que mencionavam a falsa ""taxação do Pix"" e o sistema Valores a Receber do Banco Central",2025-02-11T00:56:56.143Z,0,7,19,2025-02-11T00:56:59.351Z,sejadeesquerda.bsky.social,Rodrigo Arruda,did:plc:y2eymcddnsio2f5iar4ikm3g
at://did:plc:wo6oy3dqxztq6txdzo42x2fe/app.bsky.feed.post/3lhucn66sts24,bafyreib3x64whn4zhgmp7k43cxdromp4aqg56oj5o6jt7px54gvjge4tfm,Ele deve tá recebendo pix das fãs do Matteus pra falar essa fake news,2025-02-10T23:34:28.531Z,3,0,0,2025-02-10T23:34:28.853Z,elizaarauja.bsky.social,Elizaaraujo,did:plc:wo6oy3dqxztq6txdzo42x2fe
at://did:plc:764wt4th6dnva3smdtabuhb3/app.bsky.feed.post/3lhth22r5jk2o,bafyreiezn4nnvmlw2fbomq4cujiskqopu7hm4v3f54iazik6fxuqb6ut4m,"A gente tá fazendo muito menos que o mínimo, viu. Agora tem que ficar apagando fogo criado por bolsonarista o tempo todo. É fake news do Pix, é anistia, é semipresidencialismo, é transfobia... em um país sério um parlamentar não teria tanta imunidade para falar merda e por ser lesa-pátria.",2025-02-10T15:20:36.369Z,0,0,4,2025-02-10T15:20:37.565Z,dleo.bsky.social,D,did:plc:764wt4th6dnva3smdtabuhb3
at://did:plc:tv7p743ur5d6fongxhjfltrv/app.bsky.feed.post/3lhtemgop6s2w,bafyreigqfbwn3v7wj4ambouq4exiuwb6ca5lqifuo22nkvithalilyp3oa,"🇧🇷 Parece que a Meta se beneficiou muito com as fake news sobre os pix brasileiros. 

Lucro 🤑🤑🤑🤑🤑🤑",2025-02-10T14:37:11.631Z,1,0,0,2025-02-10T14:37:12.761Z,rosepaixao.bsky.social,Rose Paixão - Fim da escala 6x1,did:plc:tv7p743ur5d6fongxhjfltrv
at://did:plc:7xvo5igdq4wyk3mhu4fsubcx/app.bsky.feed.post/3lhruhrmn5k26,bafyreibaomigtmoo3lbtx4r5udq7xeddw3t27ccfuerib3d5vylrmcbhfu,"Meta lucrou com onda de fake news sobre fiscalização do Pix, aponta estudo
Pesquisa do NetLab identificou 1.770 anúncios fraudulentos nas redes sociais que exploravam insegurança causada por desinformação
#Resistencia2412Dias
Siga nosso BlueSky DilmaResiste",2025-02-10T00:15:35.718Z,0,6,27,2025-02-10T00:16:02.951Z,dilmaresiste.bsky.social,Dilma Resistente,did:plc:7xvo5igdq4wyk3mhu4fsubcx
at://did:plc:dhhbpz3nxfaijqbpclifiyvv/app.bsky.feed.post/3lhrooggvsk2v,bafyreid55ahe5e4dsijmnz7t7hqd46vybyot3ojzobh4hehslkbw6bkuaa,"""mas a solução é ignorar conteúdos como do Nikolas""

Ele tem engajamento comentando ou não 
Eu trabalhei com pessoas não alfabetizadas, sem acesso às redes que cairam Fake news do Pix

O erro é a rede sem regulação, não nós
Aliás, foi nessa de ignorar a direita que o ""Ele não"" fracassou bonito",2025-02-09T22:31:56.427Z,0,0,0,2025-02-09T22:31:57.455Z,kennedymatos.bsky.social,Kennedy ,did:plc:dhhbpz3nxfaijqbpclifiyvv
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhphrruunn2j,bafyreiblg4f25xnkynd32flonjajjocwnmdtyxcm5lxmd6y2b7adx4nhzi,O Governo Brasileiro decidiu recuar e desistir da fiscalização do PIX após uma onda de fake news sobre a medida.,2025-02-08T22:23:12.985-03:00,0,0,0,2025-02-09T01:23:13.655Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhpa4gepaf2a,bafyreic6ffi3usvcc5nkwyjnywio75jutk7vyc35dtxwwaq7dumyv2qd34,O governo vai acionar a justiça contra fake news e golpes que atingem o sistema de Pix. A medida visa combater ataques cibernéticos.,2025-02-08T20:06:00.078-03:00,0,0,0,2025-02-08T23:06:00.649Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhp5i7nisp2s,bafyreidvto5bvl2rr5dvmgmxnkagvjahjolakctqmp7nol2uzjhei4ffj4,Transferências por Pix caem 10% após novo monitoramento e fake news. A queda ocorreu após o Banco Central de Brasil implementar um novo sistema de monitoramento para detectar e impeder transferências fraudulentas.,2025-02-08T19:18:54.462-03:00,0,0,0,2025-02-08T22:18:55.354Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:b42zkq7eht3xftkfoupjwxh6/app.bsky.feed.post/3lhp46sp5zs2h,bafyreiefc5udnbvqifelcoqfuadgnfkqlagjwv2dytrs7ayvhyalc7267i,Yeah pix man. Otherwise *fake news*,2025-02-08T21:55:45.573Z,1,0,1,2025-02-08T21:55:46.761Z,nafoffs.bsky.social,Bonkers Gonna Bonk,did:plc:b42zkq7eht3xftkfoupjwxh6
at://did:plc:yhdyinfgagzjlr2spaxv2mst/app.bsky.feed.post/3lhot2clsxk2j,bafyreibcqlzvzybjphlwckcrs2r2rmne5cl7lpwwxjxhpbj25dgqcencui,"POR QUE SERÁ QUE ELES NÃO QUEREM TIRAR AS FAKE NEWS NÉ?
🚩Meta lucrou com onda de fake news sobre fiscalização do Pix, aponta estudo.
Pesquisa do NetLab identificou 1.770 anúncios fraudulentos nas redes sociais que exploravam insegurança causada por desinformação.
revistaforum.com.br/ciencia-e-te...",2025-02-08T19:12:10.799Z,0,2,11,2025-02-08T19:12:20.756Z,akaishiri.bsky.social,Akai,did:plc:yhdyinfgagzjlr2spaxv2mst
at://did:plc:cfms23p3vidsmk3stdqvp4ij/app.bsky.feed.post/3lhom6i7e4k2e,bafyreiclia5zbcmblucm67sik5qfm5gwjosv4obb5y4xtjs4csmji6me4a,"Brazil: Meta profited from wave of fake news about Pix monitoring

NetLab research identified 1,770 fraudulent ads on social media that exploited insecurity caused by misinformation 
revistaforum.com.br/ciencia-e-te...",2025-02-08T17:09:14.706Z,0,5,8,2025-02-08T17:09:16.860Z,waterblusky.bsky.social,WaterBluSky      🇺🇸 🌻 🇺🇦,did:plc:cfms23p3vidsmk3stdqvp4ij
at://did:plc:jwrvr75ryt5a73kwm4vdxkw7/app.bsky.feed.post/3lhmysheix324,bafyreigi6pvaogcwfqs3jpru3drs2zduffpvjkgvrpa26ne2d663ovupkm,"fiscalização e punição por trabalho escravo...trabalha na surdina para salvar os seus amigos corruptos e também aprovar coisas contra nós...que criam fake news sobre pix...prejudicam abertamente o Brasil e os brasileiros...especialmente os mais pobres...
Se vamos ficar o tempo todo reféns dessa +",2025-02-08T01:49:50.339Z,1,0,1,2025-02-08T01:49:50.640Z,meurefugionerd.bsky.social, 🍥MEU REFUGIO NERD(LUKE)🍥 ,did:plc:jwrvr75ryt5a73kwm4vdxkw7
at://did:plc:fnznfdcqw6vyfedlzstt44vv/app.bsky.feed.post/3lhmypweph223,bafyreifdjblhkjsarsrp4xzb5scpo5gyvgwta6mj2xggsnpqsnvwensqnu,"Meta foi paga para divulgar fake news sobre Pix, diz estudo

No total, foram 1.770 anúncios fraudulentos impulsionados no Facebook e no Instagram, apesar de irem contra as regras da Meta

olhardigital.com.br/2025/02/07/p...",2025-02-08T01:48:25.410Z,9,92,183,2025-02-08T01:47:22.052Z,nesimachado.bsky.social,Rita Machado,did:plc:fnznfdcqw6vyfedlzstt44vv
at://did:plc:zizkgb4v5kb4xmjpdzkbcx3g/app.bsky.feed.post/3lhlutnehqs2r,bafyreicxzytp46t64epwguvghhdr4skfq3t4rsgo7rqtbxsvaluztkn5dq,"📢 A Meta esta lucrando com os anúncios fraudulentos sobre o Pix.

Havia também anúncios que impulsionavam a fake news sobre a taxação do Pix.

Foram identificados mais de 1.700 anúncios pagos na plataforma.

[+]",2025-02-07T15:06:15.440Z,7,57,222,2025-02-07T15:06:18.750Z,sleepinggiantsbr.bsky.social,Sleeping Giants Brasil,did:plc:zizkgb4v5kb4xmjpdzkbcx3g
at://did:plc:zwxl6dnun52q3ywiao2ad3if/app.bsky.feed.post/3lhlp7kzbma42,bafyreiazxed2f6g3fivaxdfakzjzkfngedynjvp5tfhja5pkmirpmgntfq,"Meta foi paga para divulgar fake news sobre Pix, diz estudo
https://olhardigital.com.br/2025/02/07/pro/meta-foi-paga-para-divulgar-fake-news-sobre-pix-diz-estudo/?utm_source=flipboard&utm_medium=activitypub 

Posted into Tecnologia @tecnologia-FlipboardBR",2025-02-07T13:24:05.000Z,0,0,0,2025-02-07T13:33:46.252Z,FlipboardBR.flipboard.com.ap.brid.gy,Desconhecido,did:plc:zwxl6dnun52q3ywiao2ad3if
at://did:plc:7vqgcuzof5itcpfc73njbstf/app.bsky.feed.post/3lhkdxjluz22z,bafyreihijgqmmgu2zzmopribyvhcj5tkj73afjbe4p4uo7opk2p2wvgqxe,"Golpistas se aproveitaram da onda de fake news sobre o PIX para fazer 1.770 anúncios falsos nas redes, diz estudo glo.bo/4hNgAOR #g1",2025-02-07T00:31:32.395Z,6,12,58,2025-02-07T00:31:35.563Z,g1portal.bsky.social,g1 - O portal de notícias da Globo,did:plc:7vqgcuzof5itcpfc73njbstf
at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3lhk7fur6sw2p,bafyreiakvco54t6rkn3ivstcfuc7qqqsoplqgt76j6ewghnx5nk7vhk4mq,"Golpistas se aproveitaram da onda de  fake news sobre o PIX para impulsionar 1.770 anúncios falsos nas redes, diz estudo",2025-02-06T23:10:03.340537Z,0,0,0,2025-02-06T23:10:05.950Z,g1-bot-rss.adilson.net.br,Notícias do G1 (Não oficial),did:plc:kzkl2onyewbs7pehh2ellzcb
at://did:plc:dk644jtqur3mvxphdwuawi25/app.bsky.feed.post/3lhjywidco22b,bafyreid7usbvlylpco6hvj2v6fkolpdvx3ek73erwakjm2ekdsuuimopa4,"Janones e outros parlamentares alertaram esta semana sobre as articulações bolsonaristas para impedir a aprovação. Após o fracasso, espalham fakenews dizendo que foi uma promessa ñ cumprida. Eles fazem isso desde as “blusinhas”, o Pix e outras fake news, com apoio das BTechs e omissão do STF e PGR.",2025-02-06T21:14:06.353Z,1,0,1,2025-02-06T21:14:07.858Z,marcianobrito.bsky.social,Marciano Brito,did:plc:dk644jtqur3mvxphdwuawi25
at://did:plc:7c4wycyn2cklrdipx6kjdltn/app.bsky.feed.post/3lhjuwbh52k2c,bafyreiekbs64bu2lmepztypcuddj37cxowrxkfq3v3ghvsdzxlpibjwewe,"Mas pra aproveitar esse momento, uma campanha de esclarecimento intensa deve ser feita previamente para evitar as fake news como foi no caso do PIX",2025-02-06T20:02:24.170Z,0,1,3,2025-02-06T20:02:24.548Z,robsongfreire.bsky.social,☭ Robson Freire ☭ ,did:plc:7c4wycyn2cklrdipx6kjdltn
at://did:plc:rhlqkrr7yzxutkqo5xdw7fqq/app.bsky.feed.post/3lhjh55n6ac2r,bafyreigvricinik3fptur6qopzembty6rkludyxx4o6mg3qj673c3fpf6y,I'm REALLY tired seeing all the SHOCK MEDIA/fake news pix of T%$mp etc. I need more posts about how we in Canada are pulling together,2025-02-06T15:55:42.669Z,0,0,0,2025-02-06T15:55:42.452Z,arcticdreamer.bsky.social,Arcticdreamer,did:plc:rhlqkrr7yzxutkqo5xdw7fqq
at://did:plc:aigr6gngpp3r7kfz7ew3u4ib/app.bsky.feed.post/3lhhc25bq6c2f,bafyreigqz2geebxdq3pw5idnptdrhesntmnlf7vgyhxk7swwyswgbvossi,"O amiguinho lá do vídeo de fake news do pix votou contra baixar o imposto da cesta básica, depois vai pro congresso dizer que eles querem a volta da comida mais barata

isso aqui precisa circular muito",2025-02-05T19:19:13.446Z,0,0,1,2025-02-05T19:19:14.153Z,renatacoelho.bsky.social,Renata Coelho,did:plc:aigr6gngpp3r7kfz7ew3u4ib
at://did:plc:aduoxavv4nlceto54tgu3fjr/app.bsky.feed.post/3lhfi7e7ri72d,bafyreigxlrpl5ru2ct6iwmpmcepfjesedhivmtewkovablbmiptihhhesy,"Pix: Fake news com taxação não diminuiu volume, diz BC ",2025-02-04T23:04:11-03:00,0,0,1,2025-02-05T02:04:12.348Z,folha.com,Folha de S.Paulo,did:plc:aduoxavv4nlceto54tgu3fjr
at://did:plc:vogulx5h4nwcozq3v4s5q2wj/app.bsky.feed.post/3lheumdpeqc2m,bafyreibiqyxfgp7c35rxxeedfo5fp225md2fpp7uwionh4jjlmo2dfu4oy,"Levantamento da GloboNews aponta que regulação do PIX, regras do Bolsa Família e ataques contra as vacinas estão entre os principais alvos de disseminadores de fake news.
Conteúdos sobre reforma tributária, criação de impostos e outros programas sociais também estão entre os mais explorados!",2025-02-04T20:13:32.289Z,1,6,34,2025-02-04T20:13:35.846Z,gcopini.bsky.social,GCopini65200,did:plc:vogulx5h4nwcozq3v4s5q2wj
at://did:plc:kbyx3enqdo2fhgw6cmpthq5h/app.bsky.feed.post/3lhepgwzzdc2o,bafyreicb6toe6y36dqwr6ntifvxbfb2tawaxjtp3emgozi3zr2vcepbheq,"Hoje peguei um táxi e o motorista disse que não aceitava mais pix, só recebia em dinheiro. Culpou a internet dos usuários pra se justificar, mas a deu pra ver a verdade na fala dele que a fake News de ser taxado fez seu estrago.",2025-02-04T18:41:02.533Z,0,0,2,2025-02-04T18:41:02.961Z,marciocrux.bsky.social,Márcio Crux,did:plc:kbyx3enqdo2fhgw6cmpthq5h
at://did:plc:s7uvy454hkeveup4ectuaikp/app.bsky.feed.post/3lhemigti6c2y,bafyreih2cmigwwixxo6pm4keq364w37z7shtgevtlxkh3rxmfzxqsyf5re,"Uma nova fake news estilo crise do pix está armada.

Vários governadores estão combinando de subir o ICMS da gasolina ao mesmo tempo para dar a impressão de que o aumento foi nacional.

Vão disseminar vídeos de alarmismo durante todo fevereiro.

Por enquanto, o governo não articula nada pra rebater.",2025-02-04T17:48:11.426Z,1,2,4,2025-02-04T17:48:12.157Z,janiocarlos.bsky.social,Janio Silva ,did:plc:s7uvy454hkeveup4ectuaikp
at://did:plc:u3gn2geenta5kuh3quchxf6v/app.bsky.feed.post/3lhekjcogl22k,bafyreia7prvyhqb42mrntsuw5bacs3udt5xscnxuzc6yhfdp2cafctth4e,"FAKE NEWS DO PIX
Vereadores rejeitam moção de apoio da extrema-direita à Nikolas Ferreira por mentira sobre o PIX. Leia no Porque Campinas:

www.portalporque.com.br/campinas/ver...",2025-02-04T17:12:53.131Z,0,0,0,2025-02-04T17:12:58.256Z,porquecampinas.bsky.social,Portal Porque Campinas,did:plc:u3gn2geenta5kuh3quchxf6v
at://did:plc:oa2lexb4hcbifvdsmkgokk3w/app.bsky.feed.post/3lheke2yvck2y,bafyreibunhs53j2eiqpzwpwz3fbvhfdghyllwaxzlsl27lp7e4qrbwz4wq,"Guilherme Boulos

A mentira de Nikolas Ferreira sobre o Pix não pode se repetir. Acabamos de protocolar na Câmara nosso Projeto de Lei (151/2025) que tipifica a divulgação desse tipo de fake news como crime contra a economia popular. Vamos enfrentar cada uma das mentiras bolsonaristas. Pau neles!",2025-02-04T17:09:57.323Z,1,12,44,2025-02-04T17:09:57.851Z,joao1950martins.bsky.social,,did:plc:oa2lexb4hcbifvdsmkgokk3w
at://did:plc:o4q46en5vtnz36wtrnfpmz4r/app.bsky.feed.post/3lheawj3th22e,bafyreiem7auhg4dsdmxssrskdw4w5byae7odxmisvw6tdqqbhytxq34wuq,"É um absurdo o BANDIDO genocida estar solto e ditando pautas diariamente nas redes sociais.
Até quando?
Perfis perdem um tempo abissal com retóricas replicando sobre passaporte e fake news sobre pix promovida pelo referido meliante
Seria melhor cobrarem ações URGENTES da justiça!",2025-02-04T14:21:18.660Z,1,1,3,2025-02-04T14:21:20.058Z,herosmoraes.bsky.social,Heros Moraes,did:plc:o4q46en5vtnz36wtrnfpmz4r
at://did:plc:774eszdm2glma3jcwddd2bvv/app.bsky.feed.post/3lhe7oaqizs2d,bafyreiaq3fdqhodtmgtc7byhvum435scmjkozjsb26byqenvjj3yvewwjq,"Queria isso aqui no Brasil em.

Mas a galera prefere não receber em pix, por causa de fake news.
Imagina se começar a rolar isso aqui no Brasil, capaz da galera inventar que os produtos nacionais estão podres e vai matar todo mundo, e uma galera acreditar ainda.",2025-02-04T13:58:47.724Z,0,0,0,2025-02-04T13:58:48.457Z,evandrodro.bsky.social,Evandrodro,did:plc:774eszdm2glma3jcwddd2bvv
at://did:plc:lyfbfpcuqb4jdpiuino4fhlw/app.bsky.feed.post/3lhd4xtmbcc2z,bafyreibqitdrvajq2dxbcsozcp3at6xfg5utmqiyvxsdvfvdbvob4hiihi,"Eu acho até previsível. Ele já não era muito popular e simpático na visão do público e a ""taxa das blusinhas"" pegou mal (alem da fake news do Pix)",2025-02-04T03:37:48.532Z,1,0,1,2025-02-04T03:37:49.951Z,ogarden.bsky.social,🦫,did:plc:lyfbfpcuqb4jdpiuino4fhlw
at://did:plc:xfso3sqba3ug76uxfe6q2cbl/app.bsky.feed.post/3lhcvl5bi7c22,bafyreiat2ivr3xikmvselhjkffbhaek2tnnhtesebagl7hxil7bncowksu,num aguento essa briguinha de ego q representa grande parte da população bancada com dinheiro público e pau no cu do contribuinte clt escala 6x1 taxado remessa conforme 80 reais em 750ml de azeite fake news do pix deportado acorrentado influenciado no tigrinho final de mês com vale transporte zerado,2025-02-04T01:25:26.263Z,1,1,8,2025-02-04T01:25:26.260Z,faelmds.bsky.social,"Fael, meu deus!",did:plc:xfso3sqba3ug76uxfe6q2cbl
at://did:plc:sjxm7co3dtxljtn7wxkedsnm/app.bsky.feed.post/3lhatagkbfs2y,bafyreia3gjuti6bgoqo4p7sm7rzkacjgvbxb4akzkfimjksogu3lzzyyjy,"Big techs:
#FakeNews sobre PIX, Bolsa Família e vacinas dominam os 400 desmentidos do governo.
www.diariodocentrodomundo.com.br/fake-news-so...

#RegulamentaçãoJá",2025-02-03T05:38:19.931Z,0,3,6,2025-02-03T05:38:22.553Z,hugobezerra.bsky.social,Hugo Bezerra 🚩,did:plc:sjxm7co3dtxljtn7wxkedsnm
at://did:plc:wx7vbeyhzjh3q546ajdxjolw/app.bsky.feed.post/3lha76qahjk2f,bafyreicjubcesupxdn7nooezusvmj6p7dlhvcughv352m2kl7vxmjxkyvm,"Fake news sobre PIX, Bolsa Família e vacinas dominam os 400 desmentidos do governo - www.diariodocentrodomundo.com.br/fake-news-so...",2025-02-02T23:39:28.147Z,0,16,40,2025-02-02T23:39:33.467Z,dcmonline.bsky.social,Diário do Centro do Mundo,did:plc:wx7vbeyhzjh3q546ajdxjolw
at://did:plc:ayyda33joyvsam3jobb7ssoq/app.bsky.feed.post/3lh7soodwsk2n,bafyreicenuexzolbnsttmjoyd3t3a5afxrgkyp3h4ys6hs2heeqebmzwrm,"Fake news sobre PIX, Bolsa Família e vacinas são as mais desmentidas pelo governo Lula | Política | G1 g1.globo.com/politica/not...",2025-02-02T19:55:44.394Z,0,7,17,2025-02-02T19:55:49.053Z,zelivanderlei.bsky.social,@ZeliVanderlei.bsky,did:plc:ayyda33joyvsam3jobb7ssoq
