uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:rprlhdnjmo6ir3wcxopuj7ad/app.bsky.feed.post/3li5zeaszs22k,bafyreibtehktyedc7n2yg5feiqknlfoa7ot4jyz7ahg3e5rrbqveve7uge,"foram tantos erros
foram tantas cagadas

e o pior que eles a cada critica so dobravam a aposta, a unica vez que era pra se manterem firmes, que foi a portaria da fiscalização do pix, arredaram pra trás numa derrota moral feia",2025-02-14T20:15:03.008Z,0,0,1,2025-02-14T20:15:03.156Z,docevampirinho.bsky.social,demônio do meio-dia,did:plc:rprlhdnjmo6ir3wcxopuj7ad
at://did:plc:jcembsosdhrfcejvsjm6shtb/app.bsky.feed.post/3lhvsr7jtsr2h,bafyreicpxv335ooq3pus54mkbugvtof3cyjum4uhekmcstda53mezetatq,"Fiscalização do Pix: maioria da população sabia do…

Lucas Mathias Tema que levou dor de cabeça ao Palácio do Planalto durante o mês de janeiro, a ampliação da fiscalização do Pix teve nas redes sociais grande repercussão negativa, em meio a uma onda de desinformação e a uma dificuldade de…",2025-02-11T13:55:43Z,0,0,0,2025-02-11T13:55:45.152Z,acrenoticias.bsky.social,Acre Notícias,did:plc:jcembsosdhrfcejvsjm6shtb
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhtnkorm432n,bafyreigdbjtpibbi6utqfdwct467g4hg2pszih737rkqwxeo2szkqbuo4y,"A revogação da fiscalização do Pix foi considerada positiva por alguns especialistas, enquanto outros acreditam que isso pode levar a problemas no futuro.",2025-02-10T14:17:16.251-03:00,0,0,0,2025-02-10T17:17:16.765Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:htvcvshwlgrosxd247ejbxqj/app.bsky.feed.post/3lhtcyhszqs2t,bafyreihx2pzl5nn7df7slka52ruldhnr2x6bo6zrqatyjf3aycsdtul5de,"🚨 ONDE FORAM PARAR 45 BILHÕES EM EMENDAS? 💸

1️⃣ Quase metade das emendas para cidades mais pobres é gasta sem transparência! Municípios com IDH baixo receberam 47% dos repasses via Pix, um modelo rápido, mas sem fiscalização. 

Segue o fio 🧶",2025-02-10T14:08:07.984Z,1,0,0,2025-02-10T14:08:16.255Z,wesleysousa.bsky.social,Wesley Sousa,did:plc:htvcvshwlgrosxd247ejbxqj
at://did:plc:7xvo5igdq4wyk3mhu4fsubcx/app.bsky.feed.post/3lhruhrmn5k26,bafyreibaomigtmoo3lbtx4r5udq7xeddw3t27ccfuerib3d5vylrmcbhfu,"Meta lucrou com onda de fake news sobre fiscalização do Pix, aponta estudo
Pesquisa do NetLab identificou 1.770 anúncios fraudulentos nas redes sociais que exploravam insegurança causada por desinformação
#Resistencia2412Dias
Siga nosso BlueSky DilmaResiste",2025-02-10T00:15:35.718Z,0,6,27,2025-02-10T00:16:02.951Z,dilmaresiste.bsky.social,Dilma Resistente,did:plc:7xvo5igdq4wyk3mhu4fsubcx
at://did:plc:tv7p743ur5d6fongxhjfltrv/app.bsky.feed.post/3lhqszb4d522s,bafyreigzxr2yzqhmvgtji6pfkvhyyymatvs7wv7oissdvuqhwgwtgyjv7y,"As emendas parlamentares estão uma vergonha, favorecendo eleitoralmente os mentirosos que prometeram em campanha, melhorar a vida do povo.

As mendas pix que recusaram fiscalização então...🤔",2025-02-09T14:16:55.165Z,0,0,0,2025-02-09T14:16:56.657Z,rosepaixao.bsky.social,Rose Paixão - Fim da escala 6x1,did:plc:tv7p743ur5d6fongxhjfltrv
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhqsw5q5tj23,bafyreigpzokmkxlby2jabzxdrf4ugtg6svbbnf353fcu5b74rzbmldecfq,"O governo brasileiro decidiu recuar e revogar a fiscalização do Pix, medida implementada após denúncias de uso do serviço para lavagem de dinheiro.",2025-02-09T11:15:10.523-03:00,0,0,0,2025-02-09T14:15:11.054Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhphrruunn2j,bafyreiblg4f25xnkynd32flonjajjocwnmdtyxcm5lxmd6y2b7adx4nhzi,O Governo Brasileiro decidiu recuar e desistir da fiscalização do PIX após uma onda de fake news sobre a medida.,2025-02-08T22:23:12.985-03:00,0,0,0,2025-02-09T01:23:13.655Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:yhdyinfgagzjlr2spaxv2mst/app.bsky.feed.post/3lhot2clsxk2j,bafyreibcqlzvzybjphlwckcrs2r2rmne5cl7lpwwxjxhpbj25dgqcencui,"POR QUE SERÁ QUE ELES NÃO QUEREM TIRAR AS FAKE NEWS NÉ?
🚩Meta lucrou com onda de fake news sobre fiscalização do Pix, aponta estudo.
Pesquisa do NetLab identificou 1.770 anúncios fraudulentos nas redes sociais que exploravam insegurança causada por desinformação.
revistaforum.com.br/ciencia-e-te...",2025-02-08T19:12:10.799Z,0,2,11,2025-02-08T19:12:20.756Z,akaishiri.bsky.social,Akai,did:plc:yhdyinfgagzjlr2spaxv2mst
at://did:plc:jwrvr75ryt5a73kwm4vdxkw7/app.bsky.feed.post/3lhmysheix324,bafyreigi6pvaogcwfqs3jpru3drs2zduffpvjkgvrpa26ne2d663ovupkm,"fiscalização e punição por trabalho escravo...trabalha na surdina para salvar os seus amigos corruptos e também aprovar coisas contra nós...que criam fake news sobre pix...prejudicam abertamente o Brasil e os brasileiros...especialmente os mais pobres...
Se vamos ficar o tempo todo reféns dessa +",2025-02-08T01:49:50.339Z,1,0,1,2025-02-08T01:49:50.640Z,meurefugionerd.bsky.social, 🍥MEU REFUGIO NERD(LUKE)🍥 ,did:plc:jwrvr75ryt5a73kwm4vdxkw7
at://did:plc:vbaujerwgeiryxultuk2c6ym/app.bsky.feed.post/3lhjbdwi52k2d,bafyreichun3stialt6mivti5mrnevhknq3gutjnjeqbzojtqarqwcwr7lu,"A norma claudicante e vilipendiada (por Everardo Maciel)

A comédia de erros no recente episódio da fiscalização de transações financeiras por meio do Pix

Leia no blog
www.metropoles.com/blog-do-nobl...",2025-02-06T14:12:07.595Z,0,1,9,2025-02-06T14:12:12.958Z,blogdonoblat.bsky.social,Blog do Noblat,did:plc:vbaujerwgeiryxultuk2c6ym
at://did:plc:w25ncme6n37ns7k52jdu4b2a/app.bsky.feed.post/3lhiu4rzo7c2k,bafyreig24jcpoflwf2jp2dsqbaqmrbr42r5mn5i5zdgm2cw67akmb5jiju,"O mundo tá tão doido, mas tão doido 

Vi um vídeo do Mamãe Falei explicando que o lula não iria taxar o pix, que era projeto do Bolsonaro e que o que o lula queria fazer era aumentar o valor da fiscalização para não taxar gente que não precisa e colocar outras fintechs nisso. 

QUE REALIDADE É ESSA?",2025-02-06T10:15:29.400Z,1,0,6,2025-02-06T10:15:31.254Z,guizor.bsky.social,Guigo,did:plc:w25ncme6n37ns7k52jdu4b2a
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3lhdvquh4p52a,bafyreifwcle7jfxi2hxl7zdys4u6kavwklcalfgcig626hg4atfz7madyu,"A Receita Federal ampliou a fiscalização do Pix, o sistema de pagamento online. A mudança afeta todos os usuários do Pix.",2025-02-04T08:01:17.550-03:00,0,0,0,2025-02-04T11:01:18.250Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:xrfzlqmcnwgcsuogwilrmfny/app.bsky.feed.post/3lhbjh3zc2k27,bafyreihceqxl2rtrl27wj7w4uepnpezw347tzaqa2fwmj3iamgabfp5nae,"A fiscalização está em pleno andamento para garantir que o Pix continue gratuito e sem cobranças abusivas. 🌐💸

🔗 Leia a matéria completa e descubra mais detalhes: www.jornalcontabil.com.br/comeca-a-fis...",2025-02-03T12:15:46.091Z,0,0,0,2025-02-03T12:15:49.147Z,jornalcontabil.bsky.social,Jornal Contábil,did:plc:xrfzlqmcnwgcsuogwilrmfny
at://did:plc:izat53ntjo7ccypqwg36k6pv/app.bsky.feed.post/3lgxgx5trf22k,bafyreieq5ga4po6c64u4nddf3kizgg3y4cig6bfhro3akxruvdoyk7cdbu,"Eu gosto do Taxadd (sic), mas um amigo me falou num café uma coisa certa: se ele quer ser o sucessor, tem que se compor como tal

Ele era contra a revogação da fiscalização do pix e deu pra trás sob pressão do Lula. Ali era para ter ele colocado o cargo à disposição e trucado o presidente",2025-01-30T12:04:26.268Z,1,0,0,2025-01-30T12:04:29.756Z,arthursemtavola.bsky.social,Cavaleiro Marginal,did:plc:izat53ntjo7ccypqwg36k6pv
at://did:plc:rpfxdsewrhq2owcbrw3mjg6x/app.bsky.feed.post/3lgvndaoywc2t,bafyreibjesd2oaijc6uzhyvdwlr6zm6de5zgc2xw6iqfywelnttrl73fxe,"Mas por que Nikolas está tão preocupado com a fiscalização do Pix? Que interesses ele representa? Que pessoas, que países?",2025-01-29T18:53:06.271Z,1,1,8,2025-01-29T18:53:32.515Z,iclnoticias.com.br,ICL Notícias,did:plc:rpfxdsewrhq2owcbrw3mjg6x
at://did:plc:oveptto4meyw4vsgmyoyh66a/app.bsky.feed.post/3lgux7kngac2l,bafyreihtb75fd77dp4n4qzehzwk5mo2ybyf43mzh6pa73fcdbdttrumxna,"Por que Nikolas está tão preocupado com a fiscalização do Pix? 
Entre seus financiadores, estão influenciadores que promovem “jogo do tigrinho” e golpes financeiros, empresários indiciados por financiar atos antidemocráticos e até um ex-sócio de Trump.

iclnoticias.com.br/tigrinho-gol...",2025-01-29T12:17:28.781Z,0,8,14,2025-01-29T12:17:32.647Z,adinacorsi.bsky.social,Ádina ,did:plc:oveptto4meyw4vsgmyoyh66a
at://did:plc:tv7p743ur5d6fongxhjfltrv/app.bsky.feed.post/3lgqvsu2iw22u,bafyreicy335u4bz25kdhliqslqurih7t6hlqplyibxgnxp5gibfb2yrxme,Só aceito pix e sem fiscalização financeira. 🤭,2025-01-27T21:41:49.745Z,0,0,1,2025-01-27T21:41:50.853Z,rosepaixao.bsky.social,Rose Paixão - Fim da escala 6x1,did:plc:tv7p743ur5d6fongxhjfltrv
at://did:plc:tv7p743ur5d6fongxhjfltrv/app.bsky.feed.post/3lgqvqmx4g22u,bafyreigs3asjatiadtabiayqf7p6hw2tjhajo6ew5pu4fpfmzmyk4b3jeu,Só aceito pix e sem fiscalização financeira. 🤭,2025-01-27T21:40:35.185Z,1,3,17,2025-01-27T21:40:36.148Z,rosepaixao.bsky.social,Rose Paixão - Fim da escala 6x1,did:plc:tv7p743ur5d6fongxhjfltrv
