uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:kxdzo7bmqipmf56gafsp7mwo/app.bsky.feed.post/3lgkt3e2a522k,bafyreigd7ncpezcpmmyxzcqblygvttigpme7xer7dc6g2geg5fqahonf3i,"O Estadão ajuda a botar fogo no país com a história do Pix, agora o Estadão crítica o governo por não combater a sonegação. Nossa, isso cansa, viu.",2025-01-25T11:36:55.293Z,0,0,8,2025-01-25T11:36:58.050Z,borboletazulgabi.bsky.social,Gabi 🦋💙,did:plc:kxdzo7bmqipmf56gafsp7mwo
at://did:plc:vbaujerwgeiryxultuk2c6ym/app.bsky.feed.post/3lgksfyppmk2w,bafyreib7yvgdp5hvcyeflfhrp4e7j5vxxzzfqz3omiieki32t5y3smdvpq,"[Pix] ‘O sonegador agradece’ – Ao revogar uma medida que ampliava o escopo de combate à sonegação, o País corre o risco de ter sua seriedade na luta contra o crime manchada internacionalmente (Estadão - Editorial)",2025-01-25T11:24:58.771Z,2,5,35,2025-01-25T11:27:04.551Z,blogdonoblat.bsky.social,Blog do Noblat,did:plc:vbaujerwgeiryxultuk2c6ym
at://did:plc:xrfzlqmcnwgcsuogwilrmfny/app.bsky.feed.post/3lgiwopayns2z,bafyreienxvojgi23l3goy4n5je2e67jaxc34dedhws7tx5sibcyy6tudae,"Seja por necessidade ou escolha, muitos atuam sem registro formal, buscando alternativas para garantir sua renda. Em 2025, a Receita Federal intensifica o combate à sonegação, aumentando os riscos dessa prática. 

Leia a matéria completa aqui: www.jornalcontabil.com.br/pix-notas-fi...",2025-01-24T17:36:06.332Z,0,0,0,2025-01-24T17:36:09.554Z,jornalcontabil.bsky.social,Jornal Contábil,did:plc:xrfzlqmcnwgcsuogwilrmfny
at://did:plc:she7c5ct6tcwouimzmrkwnj6/app.bsky.feed.post/3lgih4gtrkk2k,bafyreieb3j4tw2cud3dfrarwdrunnfkqkzrsfmroos5tfx4uwbzixmzwdm,"Temos um FATO: a Receita já combate a SONEGAÇÃO com as informações do PIX.

Não precisamos concordar se o governo usaria ou não a nova medida para aumentar a arrecadação.

O que nós achamos não importa. São hipóteses, com vieses.",2025-01-24T12:57:27.403Z,0,0,0,2025-01-24T12:57:29.656Z,manegoldstein.bsky.social,Mané Goldstein,did:plc:she7c5ct6tcwouimzmrkwnj6
at://did:plc:xwdf2nlom45mmpdn6nmhvhg7/app.bsky.feed.post/3lgaq5pgbtc2o,bafyreibzhrjn2sncff2aombgjlxiy74slbzsoi52dzqjjfu6zidjuzdvmi,"Mais do que contra o governo, a revolta do Pix foi uma demonstração de intolerância em relação ao Estado. Boa parte da população viu na decisão da Receita uma ameaça a um suposto direito à sonegação (...). 

Meu artigo de hoje:

www.correiodamanha.com.br/colunistas/f...",2025-01-21T11:17:55.720Z,1,1,3,2025-01-21T11:18:03.353Z,fernandomolica.bsky.social,Fernando Molica,did:plc:xwdf2nlom45mmpdn6nmhvhg7
at://did:plc:ieqxkehaos4jennpbaasdzbb/app.bsky.feed.post/3lg2snerl5c2b,bafyreieltoc5g7kaoxuytt2wcbs2wbywlx2ouiarmsk7izhhjgypdbm5ea,"Precisamos questionar os perdões bilionários sim, pq são dívidas muito grandes, apesar de termos questões trabalhistas a tratar em caso de falências.

Já o volume de sonegação anual por pix é impactante tbm, se pá igual ou maior, são mais crimes em grande quantidade.",2025-01-19T02:46:30.241Z,1,0,9,2025-01-19T02:46:30.776Z,ofelipelee.gamedesignhub.com,Felipe Lins 扁豆騎士 -🎮Indiana Jones/Fantasian Neo Dimension (2024),did:plc:ieqxkehaos4jennpbaasdzbb
at://did:plc:6rwzfhpnigopu3yi5bsohw3x/app.bsky.feed.post/3lg2b7ebx722f,bafyreicp6li7azeoiyxjwmmbyhpkzwo2gxqo3tqyr5b52uhsul7hnludse,"ALÔ, DEMOCRATAS SOCIAIS!
SONEGADORES!

... VERDADE:
é só o LULAA E EQUIPE TENTAREM BLOQUEAR O SAQUE DESONESTO 
NA LADINAGEM DE SONEGAÇÃO 

que os MEDALHÕES DO GOLPE,
ditos BOLSONARISTAS, 

VOMITAM BALAIOS DE MENTIRAS E ATAQUES AO GOVERNO! 
Foi assim com PIX e qualquer outra ação contra a BANDIDAGEM!",2025-01-18T21:34:26.577Z,0,0,3,2025-01-18T21:34:34.451Z,7w0e9b.bsky.social,dorival.altini,did:plc:6rwzfhpnigopu3yi5bsohw3x
at://did:plc:4awdkh7kpovqxcezn7hthrwv/app.bsky.feed.post/3lfyfdcxkhs2d,bafyreib4vsi7runexbldttbsp6yqtmg7zfu5t2u2t34uk4lgectiuqx6le,"Sim,inclusive é importantíssimo q o gov adote medidas pra combater a sonegação em todos os níveis,mas não é pq a lei obriga q signifique q a maioria declare direitinho todos os ganhos,não foi à toa q tanta gente ficou com medo,o pix hoje é muito usado no pequeno comércio pra não precisar emitir nota",2025-01-18T03:42:54.915Z,2,0,1,2025-01-18T03:42:56.954Z,mlety.bsky.social,Maria Letícia ,did:plc:4awdkh7kpovqxcezn7hthrwv
at://did:plc:wiziqaakmgvcid3uvxpjank4/app.bsky.feed.post/3lfxvhhnirc2f,bafyreihmpvt3oyexta6zm3l2wjfg2khb3v4chi657arsnsmihkbneetdvy,"Me corrija se eu estiver errado, nas o pix é taxado sim, no imposto sobre renda. E um mecanismo ótimo pra dificultar a sonegação, já que o comerciante não pode levar pra casa e esconder no colchão.
Pra melhorar, só implantando o imposto progressivo...",2025-01-17T22:58:54.177Z,1,0,1,2025-01-17T22:58:56.858Z,vianna034.bsky.social,Anarco otario,did:plc:wiziqaakmgvcid3uvxpjank4
at://did:plc:bbt7d5ndt6diq4b7kz6b5pyj/app.bsky.feed.post/3lfxdg367ok2v,bafyreihfmsrtxlbxwk57nittlvyiiwf7f32msalppojddkg4dighykwvaq,"Na saída do estacionamento privado no centro do Rio hoje, o recepcionista me apresentou a maquininha enquanto avisava: “_ só aceitamos dinheiro ou cartão de débito, pix não”. 
Paguei R$ 20,00 POR MEIA HORA no local de alta rotatividade. Entenderam a razão da gritaria? A sonegação no BR é gigante!",2025-01-17T17:36:00.187Z,0,0,1,2025-01-17T17:36:01.270Z,iriscastanho25.bsky.social,Ruiva Carioca,did:plc:bbt7d5ndt6diq4b7kz6b5pyj
