uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:4pitfwgmwaj4j6phnqik4wky/app.bsky.feed.post/3li5x2igzes2g,bafyreifbulpemt2hcwpu6d5x6gmsoestmkwuzdjx4msvbsw5sjcmxrgxle,A taxação das blusinhas e a falta de comunicação do governo na fake da taxação do pix estão mostrando resultado. Quem sabe assim o governo aprenda a fazer a comunicação correta e não crie taxas que não ajudam em nada o governo(os correios tiveram prejuízo bilionário na taxa das blusinhas).,2025-02-14T19:33:47.976Z,1,1,8,2025-02-14T19:33:49.662Z,edipogirardello.bsky.social,Édipo Girardello,did:plc:4pitfwgmwaj4j6phnqik4wky
at://did:plc:w2pvvbfaq7dnfu4a73zg643m/app.bsky.feed.post/3li5gxwx3hc2r,bafyreicu6m7x6hcxtvxx3suawayvhv4gnwvaptshmgqgsa75o4qkyutgx4,"o governo só é grandão na fala, na prática arrega pra pressão liberal, vide o caso recente da falsa taxação do pix, onde o gov federal depois de vacilar feio na comunicação, piou fininho pra falação mentirosa dos milico",2025-02-14T14:46:02.650Z,0,0,0,2025-02-14T14:46:04.550Z,saco-de-vacilo.bsky.social,trainee do macaco louco,did:plc:w2pvvbfaq7dnfu4a73zg643m
at://did:plc:sunoeiepflqzbysepcjtf6ky/app.bsky.feed.post/3li4enlzm6d2v,bafyreicusycxrkv6xdhrv7e7nr6d2udmmk3wwpi4khtxuzaqjs2zzbo4s4,"Agu após requisição, TikTok retirou vídeo que afirava que o senador Haddad propunha taxação para o Pix.",2025-02-14T01:31:48.000-03:00,0,0,0,2025-02-14T04:31:48.649Z,brasilnewsia.bsky.social,,did:plc:sunoeiepflqzbysepcjtf6ky
at://did:plc:6ah63grhe4wqrhkdm7imbguo/app.bsky.feed.post/3li2uite2tk2j,bafyreigdutdbsvehuibaihgf7oaymapklx2uyk342ieezonzdwkye3urei,A moça que faz sobrancelha não aceita PIX por causa da “taxação”. Soube ontem,2025-02-13T14:10:08.734Z,1,0,0,2025-02-13T14:10:09.848Z,dezutesonia.bsky.social,Dezute,did:plc:6ah63grhe4wqrhkdm7imbguo
at://did:plc:3nvhjuxrjlcya7ecyfqrak6b/app.bsky.feed.post/3lhyig7ho3c23,bafyreibwgue5geev5ug7mrhlo6c23getujtlklc3qvnue2cf6emzyh27ga,"Lula falando um caminhão de absurdos.

Na época da tal taxação do pix, ficaram todos em silêncio dando munição pro chupetinha. E quem teve que agir foi a Erika Hilton explicando tudo.

Essa passividade é desanimadora.",2025-02-12T15:28:36.370Z,0,0,1,2025-02-12T15:28:39.748Z,verdakulto.bsky.social,Guii.,did:plc:3nvhjuxrjlcya7ecyfqrak6b
at://did:plc:y2eymcddnsio2f5iar4ikm3g/app.bsky.feed.post/3lhuhamp5q222,bafyreigwdbhutttzanihdyegd2nlr2elgz5p7447wliy6suwwyl4imlmnu,"Estudo do NetLab da Universidade Federal do Rio (UFRJ) mostra que a Meta lucrou com a recente onda de fake news em torno do Pix. A empresa recebeu pagamentos para impulsionar a divulgação de anúncios fraudulentos que mencionavam a falsa ""taxação do Pix"" e o sistema Valores a Receber do Banco Central",2025-02-11T00:56:56.143Z,0,7,19,2025-02-11T00:56:59.351Z,sejadeesquerda.bsky.social,Rodrigo Arruda,did:plc:y2eymcddnsio2f5iar4ikm3g
at://did:plc:jdy422z5g6iponmtnimadouz/app.bsky.feed.post/3lhuczt3cbc2k,bafyreiaciwddh4cn6dux4ofoi3qskhdsg2shd5xjiiq4lva23kgklnvh5a,"Vou fazer uma pergunta honesta pois tenho duvidado do que é realidade na nossa vida. Tirando a parte dos conluios com o centrão, a falha na taxação das blusinhas, a comunicação na hora do Pix - no que se apoiam as pessoas que estão achando o governo ruim ou péssimo?",2025-02-10T23:41:33.084Z,0,0,0,2025-02-10T23:41:33.956Z,florboleta.bsky.social,B612 ,did:plc:jdy422z5g6iponmtnimadouz
at://did:plc:gbdq5nlcqtgf464blewncly4/app.bsky.feed.post/3lhscqtgiad2i,bafyreigulfgnjumeofjfti7vxtvqa3sx3mn6yxs4nfnmvvushg76zdbbwm,"Queda da popularidade do presidente Lula no Nordeste gera preocupação no governo

A popularidade do presidente Lula caiu no Nordeste, segundo pesquisa da Quaest, gerando preocupação no governo. A inflação de alimentos, a taxação de importações e a polêmica do Pix são apontadas como fatores para a…",2025-02-10T04:31:10Z,0,0,0,2025-02-10T04:31:12.760Z,jornalgrandebahia.bsky.social,Jornal Grande Bahia,did:plc:gbdq5nlcqtgf464blewncly4
at://did:plc:cwn6276jrho3iq53h47cwuyp/app.bsky.feed.post/3lhsc3ffm4c2q,bafyreie5pjr6np6r74seuoku6bjn5vhmpuae5nnrfkvl6noq76ehytnf64,"Que feladaputa, em nenhum momento avisou pras pessoas que conversou que a ""taxação do Pix"" é falsa! Tipo, se o povo acredita então é verdade. SE FODER, VIU????",2025-02-10T04:19:12.634Z,0,0,1,2025-02-10T04:19:14.657Z,francinhaclara.bsky.social,Fashionista de Esquerda,did:plc:cwn6276jrho3iq53h47cwuyp
at://did:plc:oxavdwcdgackjufskg2j7ag2/app.bsky.feed.post/3lhs3b3pt722k,bafyreidsb5h66twsd33xr6l6fhqbuoblxf5kuftwnqs6y5s7kpdqmhrbmm,"Bem, o Musk tá forçando um calote de parte da dívida pública. Se isso não for motivo de preocupação para o mercado, então não sei o que mais seria. Talvez se o Musk anunciar a taxação do pix…",2025-02-10T02:17:07.621Z,1,1,1,2025-02-10T02:17:08.259Z,paulogustavo.net,Paulo Gustavo,did:plc:oxavdwcdgackjufskg2j7ag2
