uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
atdidplc4pitfwgmwaj4j6phnqik4wkyappbskyfeedpost3li5x2igzes2g,bafyreifbulpemt2hcwpu6d5x6gmsoestmkwuzdjx4msvbsw5sjcmxrgxle,taxação blusinhas falta comunicação governo fake taxação pix mostrando resultado sabe assim governo aprenda comunicação correta crie taxas ajudam nada governoos correios tiveram prejuízo bilionário taxa blusinhas,20250214T193347976Z,1,1,8,20250214T193349662Z,edipogirardellobskysocial,Édipo Girardello,didplc4pitfwgmwaj4j6phnqik4wky
atdidplcw2pvvbfaq7dnfu4a73zg643mappbskyfeedpost3li5gxwx3hc2r,bafyreicu6m7x6hcxtvxx3suawayvhv4gnwvaptshmgqgsa75o4qkyutgx4,governo grandão fala prática arrega pra pressão liberal vide caso recente falsa taxação pix onde gov federal vacilar feio comunicação piou fininho pra falação mentirosa milico,20250214T144602650Z,0,0,0,20250214T144604550Z,sacodevacilobskysocial,trainee macaco louco,didplcw2pvvbfaq7dnfu4a73zg643m
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3li4enlzm6d2v,bafyreicusycxrkv6xdhrv7e7nr6d2udmmk3wwpi4khtxuzaqjs2zzbo4s4,Agu requisição TikTok retirou vídeo afirava senador Haddad propunha taxação Pix,20250214T0131480000300,0,0,0,20250214T043148649Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
atdidplc6ah63grhe4wqrhkdm7imbguoappbskyfeedpost3li2uite2tk2j,bafyreigdutdbsvehuibaihgf7oaymapklx2uyk342ieezonzdwkye3urei,moça faz sobrancelha aceita PIX causa “taxação” Soube ontem,20250213T141008734Z,1,0,0,20250213T141009848Z,dezutesoniabskysocial,Dezute,didplc6ah63grhe4wqrhkdm7imbguo
atdidplc3nvhjuxrjlcya7ecyfqrak6bappbskyfeedpost3lhyig7ho3c23,bafyreibwgue5geev5ug7mrhlo6c23getujtlklc3qvnue2cf6emzyh27ga,Lula falando caminhão absurdos época tal taxação pix ficaram silêncio dando munição pro chupetinha teve agir Erika Hilton explicando passividade desanimadora,20250212T152836370Z,0,0,1,20250212T152839748Z,verdakultobskysocial,Guii,didplc3nvhjuxrjlcya7ecyfqrak6b
atdidplcy2eymcddnsio2f5iar4ikm3gappbskyfeedpost3lhuhamp5q222,bafyreigwdbhutttzanihdyegd2nlr2elgz5p7447wliy6suwwyl4imlmnu,Estudo NetLab Universidade Federal Rio UFRJ mostra Meta lucrou recente onda fake news torno Pix empresa recebeu pagamentos impulsionar divulgação anúncios fraudulentos mencionavam falsa taxação Pix sistema Valores Receber Banco Central,20250211T005656143Z,0,7,19,20250211T005659351Z,sejadeesquerdabskysocial,Rodrigo Arruda,didplcy2eymcddnsio2f5iar4ikm3g
atdidplcjdy422z5g6iponmtnimadouzappbskyfeedpost3lhuczt3cbc2k,bafyreiaciwddh4cn6dux4ofoi3qskhdsg2shd5xjiiq4lva23kgklnvh5a,Vou pergunta honesta tenho duvidado realidade vida Tirando parte conluios centrão falha taxação blusinhas comunicação hora Pix apoiam pessoas achando governo ruim péssimo,20250210T234133084Z,0,0,0,20250210T234133956Z,florboletabskysocial,B612,didplcjdy422z5g6iponmtnimadouz
atdidplcgbdq5nlcqtgf464blewncly4appbskyfeedpost3lhscqtgiad2i,bafyreigulfgnjumeofjfti7vxtvqa3sx3mn6yxs4nfnmvvushg76zdbbwm,Queda popularidade presidente Lula Nordeste gera preocupação governo popularidade presidente Lula caiu Nordeste segundo pesquisa Quaest gerando preocupação governo inflação alimentos taxação importações polêmica Pix apontadas fatores a…,20250210T043110Z,0,0,0,20250210T043112760Z,jornalgrandebahiabskysocial,Jornal Bahia,didplcgbdq5nlcqtgf464blewncly4
atdidplccwn6276jrho3iq53h47cwuypappbskyfeedpost3lhsc3ffm4c2q,bafyreie5pjr6np6r74seuoku6bjn5vhmpuae5nnrfkvl6noq76ehytnf64,feladaputa momento avisou pras pessoas conversou taxação Pix falsa Tipo povo acredita então verdade FODER VIU,20250210T041912634Z,0,0,1,20250210T041914657Z,francinhaclarabskysocial,Fashionista Esquerda,didplccwn6276jrho3iq53h47cwuyp
atdidplcoxavdwcdgackjufskg2j7ag2appbskyfeedpost3lhs3b3pt722k,bafyreidsb5h66twsd33xr6l6fhqbuoblxf5kuftwnqs6y5s7kpdqmhrbmm,Bem Musk tá forçando calote parte dívida pública motivo preocupação mercado então sei mais seria Talvez Musk anunciar taxação pix…,20250210T021707621Z,1,1,1,20250210T021708259Z,paulogustavonet,Paulo Gustavo,didplcoxavdwcdgackjufskg2j7ag2
atdidplcsunoeiepflqzbysepcjtf6kyappbskyfeedpost3lhpqynfklj2r,bafyreibsxmd3ws2666eahvrf2krlk2vfvavsrnzuq4prqactawxuybffsq,Notícia falsa taxação Pix causa baixa transações,20250209T0108068450300,0,0,0,20250209T040807556Z,brasilnewsiabskysocial,,didplcsunoeiepflqzbysepcjtf6ky
atdidplcny3ypck5qbk75bwqirgjgicoappbskyfeedpost3lho4mkd75k2v,bafyreih65dcmqh72iyckzub7xnrcuol5n4f6f37wbjh23phq6ba3uc3h3i,campanha presidencial 2026 começou caso taxação PIX deixou claro Lula atacado diariamente Direita bando supostos esquerdistas ficam atacando Lula atacar Bolsonaro Tarcísio eleito Presidente 2026 terão culpa cartório,20250208T123046822Z,0,1,4,20250208T123047658Z,marcos2075bskysocial,Marcos2075,didplcny3ypck5qbk75bwqirgjgico
atdidplczizkgb4v5kb4xmjpdzkbcx3gappbskyfeedpost3lhlutnehqs2r,bafyreicxzytp46t64epwguvghhdr4skfq3t4rsgo7rqtbxsvaluztkn5dq,📢 Meta lucrando anúncios fraudulentos Pix Havia anúncios impulsionavam fake news taxação Pix identificados mais 1700 anúncios pagos plataforma,20250207T150615440Z,7,57,222,20250207T150618750Z,sleepinggiantsbrbskysocial,Sleeping Giants Brasil,didplczizkgb4v5kb4xmjpdzkbcx3g
atdidplc6gq6kvnl23z35wgyrqaecxyyappbskyfeedpost3lhloc5h2bk27,bafyreif2cfolqhhcp6vhbqemlmjkro5v5swajiaxq6gp22y33m5d7pnjpm,exemplo feitas mais 1700 inserções Facebook alertando taxação Pix golpe mentira Meta escolhe entender inserções empresas financeiras mentiras peças marketing legítimas pra oferecer empréstimos vantagens,20250207T130905911Z,1,0,2,20250207T130908157Z,bskypiratariaonlinedev,alein,didplc6gq6kvnl23z35wgyrqaecxyy
atdidplc5kz6y55svxbz7ho7rqr6o2jsappbskyfeedpost3lhiveasces27,bafyreia3ue36mxxp55nndzijksr33nkhmha2srrmy2molwiignqtpmo26m,notei queda menções bets acredito mais efeito enxurrada relacionadas EUA Élio Mosca pautas bombas extrema direita brasileira vide taxação Pix percepção provavelmente tô errado 😂,20250206T103733511Z,0,0,2,20250206T103734250Z,alexhctpbskysocial,Alex,didplc5kz6y55svxbz7ho7rqr6o2js
atdidplcaduoxavv4nlceto54tgu3fjrappbskyfeedpost3lhfi7e7ri72d,bafyreigxlrpl5ru2ct6iwmpmcepfjesedhivmtewkovablbmiptihhhesy,Pix Fake news taxação diminuiu volume BC,20250204T2304110300,0,0,1,20250205T020412348Z,folhacom,Folha SPaulo,didplcaduoxavv4nlceto54tgu3fjr
atdidplcshfowu4cdav5ggy32hhbp3mtappbskyfeedpost3lhev5cclrs23,bafyreidbrmqp6cul6bbx4iik3tj4hd3sg4aoszncxaknmqaxllbkcxvasa,sei pq pentecostal véio viu né dias mandaram vídeo Nikolas Ferreira taxação pix 😫,20250204T202301259Z,1,0,2,20250204T202303944Z,tahhmirandabskysocial,THAIS AMA GUSTAVO 🧚🏾‍♀️,didplcshfowu4cdav5ggy32hhbp3mt
atdidplcsmhj7oe6nhrrgz2umogz72klappbskyfeedpost3lheg5hmybs2k,bafyreifc4jxjeu345ymcnb3opcmoykgx3eowase7n2z4hilg7ymhbws2ma,bem fato slogan alugou triplex cabeça oposição frase algo poderiam discordar quisessem parece episódio taxação Pix Nikolas fato refutar parecer ser verdade,20250204T155440708Z,1,0,0,20250204T155442760Z,rottenshangrilabskysocial,Maillard,didplcsmhj7oe6nhrrgz2umogz72kl
atdidplcny3ypck5qbk75bwqirgjgicoappbskyfeedpost3lhefyu6vrc27,bafyreidts3ij3hbdydc6ya6ckvrceybhdfqcnayh3zzx6nlj2t2ctmvode,Sim adiaram vitórias manipulações vão 2026 veja caso taxação PIX cenário positivo 2026 Lula dificilmente deixará ser reeleito,20250204T155206114Z,0,0,1,20250204T155206954Z,marcos2075bskysocial,Marcos2075,didplcny3ypck5qbk75bwqirgjgico
